"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.34,2.94,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.84,2.84,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.07,1.76,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
1.48,1.13,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
1.68,1.75,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
1.86,1.82,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.35,2.14,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
1.93,1.81,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.71,3.18,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.21,2.21,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
1.17,1.23,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
3.04,2.72,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
