"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.38,1.43,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
2.81,2.95,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
2.13,2.04,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
1.08,1.3,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
1.45,1.93,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
2.55,2.95,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
2.34,2.63,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
2.24,2.53,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
2.82,3.16,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
2,2.19,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
1.1,1.41,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
0.35,0.77,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-MR"
