"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1,0.79,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.34,1.33,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.54,1.37,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.12,2.21,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.04,1.51,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.99,2.31,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.09,0.89,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.43,3.48,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.85,2.04,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.2,2.57,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.09,1.14,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.93,1.56,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
