"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.67,1.77,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.45,1.41,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
0.42,0.3,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.2,0.95,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.13,1.45,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.1,2.7,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.78,2.69,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.92,3.33,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.76,3.87,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.1,2.7,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.33,2.37,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.53,1.66,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
