"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.96,1.79,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.02,1.74,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
1.93,1.48,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
1.93,1.88,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.04,2.34,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.25,2.69,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.58,3.05,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.99,3.84,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.68,2.73,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.08,2.25,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
1.73,1.59,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.01,1.9,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
