"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.27,1.34,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.12,1.16,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.49,1.5,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.01,1.27,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.83,2.07,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
0.59,1.05,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.54,2.27,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.56,2,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.23,1.95,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.31,1.43,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.31,1.18,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
0.89,0.83,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
