"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.9,2.42,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
3.23,2.79,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.35,2.09,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.8,1.42,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.82,1.71,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.63,1.4,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.14,2.28,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.95,1.81,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.75,1.58,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.91,1.81,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.77,2.84,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.72,1.67,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
