"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.87,2.83,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.63,3.09,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.15,2.04,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
1.84,2.12,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.26,2.18,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.05,3.18,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.16,4.76,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.38,5.35,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.43,3.8,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
1.93,2.47,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.37,2.82,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.11,3.36,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
