"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.13,1.76,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.12,1.15,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.02,1.27,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.42,1.5,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.28,1.68,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.33,3.79,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
3.06,4.48,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
4.36,6.74,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
3.59,5.62,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.42,3.17,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.61,2.12,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.57,2.58,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
