"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.82,3.1,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
2.58,2.86,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
2.71,3.18,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
2.45,2.82,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
2.22,2.75,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
3.05,4.42,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
3.96,5.99,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
4.37,5.93,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
3.79,4.79,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
3.8,4.27,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
3.45,3.82,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
2.83,3.13,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
