"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.99,1.95,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
0.8,1.06,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
0.98,0.99,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
1.28,1.32,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
0.85,0.9,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
0.63,0.84,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
0.91,1.3,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
1.66,2.08,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
1.35,1.86,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
1.69,2.27,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
1.59,1.89,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
1.07,1.35,"rcp45",2065,2095,2080,1990,"relative","GFDL-ESM2M"
