"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.86,2.62,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
3.56,3.58,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
3.33,3.46,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
2.1,2.13,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
1.41,1.18,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
2.2,1.99,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
2.95,2.86,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
2.99,2.62,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
3.24,3.65,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
3.17,3.47,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
1.99,2.2,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
2.75,2.6,"rcp45",2065,2095,2080,1990,"relative","IPSL-CM5A-LR"
