"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.14,0.92,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
1.82,1.78,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
1.88,1.45,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
1.57,1.92,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
1.78,2.4,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
2.02,3.07,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
2.23,3.21,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
3.28,4.55,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
2.18,2.83,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
1.69,1.85,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
2.14,2.14,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
1.75,1.79,"rcp45",2065,2095,2080,1990,"relative","CCSM4"
