"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.11,1.87,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
2.33,2.07,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
2.13,2.11,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
1.9,1.66,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
1.64,1.78,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
2.13,2.38,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
2.55,2.88,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
2.66,3.34,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
3.26,3.93,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
2.17,2.5,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
1.84,1.8,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
1.87,1.7,"rcp45",2065,2095,2080,1990,"relative","bcc-csm1-1"
