"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.07,2.23,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
2.07,2.06,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
0.86,0.78,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
1.82,1.77,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
1.79,2.16,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
2.97,3.57,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
3.78,4.04,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
3.64,3.91,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
3.03,4.12,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
2.64,2.73,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
3.02,3.04,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
2.07,2.13,"rcp45",2065,2095,2080,1990,"relative","BNU-ESM"
