"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3,2.59,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
3.06,2.67,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
2.46,1.35,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
2.52,1.82,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
2.03,1.64,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
2.62,1.95,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
3.61,3.24,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
3.76,3.81,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
3.49,3.81,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
2.77,2.58,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
2.63,2.31,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
2.7,2.19,"rcp45",2065,2095,2080,1990,"relative","MIROC-ESM"
