"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.47,2.09,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
2.22,2.15,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
1.26,1.62,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
1.14,1.09,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
1.61,1.94,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
1.62,2.72,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
3.35,4.83,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
4.39,6.59,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
3.14,5.2,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
2.11,3.31,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
2.81,3.31,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
1.91,1.95,"rcp45",2065,2095,2080,1990,"relative","CSIRO-Mk3-6-0"
