"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.74,2.81,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
2.66,2.8,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
1.58,1.6,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
2.06,2.36,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
2.22,2.59,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
1.75,2.45,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
2.81,3.71,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
3.17,4.22,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
2.86,3.71,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
1.93,2.13,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
2.26,2.2,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
2.26,2.41,"rcp85",2065,2095,2080,1990,"relative","GFDL-ESM2G"
