"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.95,2.75,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
4.39,3.83,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
2,1.74,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
1.5,2.08,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
0.83,1.99,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
1.13,3.24,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
4.36,6.23,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
5.14,5.49,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
2.49,3,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
1.39,1.52,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
1.75,1.57,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
1.27,1.25,"rcp85",2065,2095,2080,1990,"relative","inmcm4"
