"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.61,3.58,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
3.72,3.32,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
2.92,2.72,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
3.5,3.66,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
4.59,5.86,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
5.07,6.26,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
6.89,9.24,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
7.54,10.05,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
5.57,7.57,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
5.11,5.69,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
3.99,3.82,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
3.68,3.62,"rcp85",2065,2095,2080,1990,"relative","CanESM2"
