"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.2,2.76,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
2.13,2.83,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
2.52,3.45,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
1.4,3.67,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
0.7,4.74,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
0.67,5.05,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
1.01,6.06,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
1.94,6.24,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
1.84,5.48,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
1.46,3.53,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
1.82,3.01,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
2.08,2.56,"rcp85",2065,2095,2080,1990,"relative","CESM1-BGC"
