"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
4.69,4.23,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
5.14,4.64,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
3.82,3.33,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
3.1,2.88,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
3.1,3.09,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
2.91,2.24,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
3.5,3.18,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
3.66,3.43,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
3.61,3.43,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
2.84,3.11,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
4.08,4.38,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
3.38,3.31,"rcp85",2065,2095,2080,1990,"relative","CNRM-CM5"
