"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
4.77,4.84,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
3.18,3.45,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
3.6,3.56,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
4.11,4.77,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
4.07,4.45,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
5.09,6.23,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
5.26,8.73,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
5.79,10.3,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
4.48,8.27,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
4.13,5.66,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
4.22,4.88,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
4.9,5.02,"rcp85",2065,2095,2080,1990,"relative","ACCESS1-0"
