"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
4.79,5.06,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
4.86,5.35,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
4.32,6.05,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
3.69,5.04,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
4.08,5.42,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
5.44,7.49,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
6.69,9.83,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
8.57,10.83,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
7.2,9.1,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
5.88,6.71,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
4.87,5.41,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
4.3,4.68,"rcp85",2065,2095,2080,1990,"relative","GFDL-CM3"
