"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.95,2.38,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.42,1.14,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.44,1.3,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.37,1.45,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.55,1.67,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.26,1.38,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.5,1.96,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.6,1.79,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.07,1.08,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.16,1.4,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
2.11,2.15,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.68,1.74,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
