"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.4,2.49,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.38,2.62,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.71,2.88,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
1.86,1.95,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
1.93,1.99,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.46,3.26,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
3.2,4.64,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
3.73,5.04,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
3.08,3.96,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
3.05,3.33,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.56,2.88,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.34,2.65,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
