"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.01,2.94,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.97,2.21,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.05,0.88,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.15,0.9,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.63,1.34,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
0.33,0.66,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
0.72,1.67,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.66,2.31,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.42,2.12,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.35,1.87,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.44,1.45,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
2.02,2.07,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2M"
