"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.05,1.72,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
3.3,2.56,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
1.53,0.82,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
0.41,0.39,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
-0.48,0.21,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
0.1,1.38,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
2.17,4.15,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
0.46,1.4,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
0.35,1.23,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
0.31,0.55,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
0.73,0.52,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
0.35,0.11,"rcp45",2070,2100,2085,1990,"relative","inmcm4"
