"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.67,2.78,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.3,2.06,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.93,1.51,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.63,1.6,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.92,2.08,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.91,3.15,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.11,2.83,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.69,2.36,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.46,3.55,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.84,2.98,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.93,2.14,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.87,1.96,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
