"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.18,0.75,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.98,1.75,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
2.29,1.62,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.49,1.4,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.47,1.71,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.79,2.56,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
2.02,2.83,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
2.85,3.71,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.89,2.21,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.57,1.39,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
2.1,1.91,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.71,1.49,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
