"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.31,2.01,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
1.67,1.48,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
1.84,1.35,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.33,2.52,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.07,1.83,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.41,2.26,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.67,3.96,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.57,4.03,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.32,3.83,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.04,2.08,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.34,2.42,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.77,2.81,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
