"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
4.01,3.44,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
3.48,2.67,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
3.27,2.91,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.9,2.76,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
3.85,4.76,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
3.44,3.93,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
5.94,7.01,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
6.31,7.32,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
5.19,5.5,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
3.96,4.56,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
3.69,3.62,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
4.4,4.13,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
