"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.7,3.49,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
3.86,3.24,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
3.02,2.55,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
3.31,3.11,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
4.7,5.84,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
5.16,6.08,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
7.01,9.11,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
7.68,10.11,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
5.54,7.3,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
5.07,5.48,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
3.97,3.65,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
3.71,3.52,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
