"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
5.45,5.04,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.17,4.73,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
4.45,3.03,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
3.7,2.75,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
4.01,3.28,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.01,4.64,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.62,5.48,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.74,6.04,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.69,6.11,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.07,4.78,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.01,4.38,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
4.87,4.28,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
