"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
4.57,4.06,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
3.37,3.15,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
2.62,2.98,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
2.38,2.22,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
2.93,3.84,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
4.55,6.79,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
6.91,9.25,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
7.14,9.44,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
6.15,8.54,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
3.78,5.12,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
3.61,4.15,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
3.78,3.85,"rcp85",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
