"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.03,1.78,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
3.96,2.8,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
3.29,1.84,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
1.14,-0.69,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
0.01,-2.01,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
-0.02,-2,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
-0.13,-2.06,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
0.21,-2.04,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
1.12,-0.36,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
1.82,0.64,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
1.79,0.79,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
2.81,1.68,"rcp45",2075,2105,2090,1990,"relative","IPSL-CM5A-LR"
