"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.49,1.66,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
2.36,1.08,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
0.91,-0.88,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
0.94,-1.03,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
-0.04,-1.71,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
0.24,-1.29,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
0.74,-1,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
0.84,-0.88,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
0.81,-0.35,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
1.24,-0.41,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
2.14,1.1,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
1.94,1.01,"rcp45",2075,2105,2090,1990,"relative","BNU-ESM"
