"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.44,1.38,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
1.74,0.38,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
2.22,0.62,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
1.29,-0.22,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
0.71,-0.44,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
-0.38,-1.45,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
-0.37,-1.03,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
-0.21,-1.38,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
0.21,-0.94,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
0.6,-0.59,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
1.17,0.07,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
1.11,-0.09,"rcp45",2075,2105,2090,1990,"relative","CESM1-BGC"
