"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.33,2.29,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
3.26,2,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
1.73,0.19,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
1.5,-0.05,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
0.78,-0.85,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
-0.02,-1.28,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
0.61,-0.49,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
0.76,-0.04,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
0.95,-0.1,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
0.8,-0.47,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
1.98,0.76,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
2.65,1.79,"rcp85",2075,2105,2090,1990,"relative","GFDL-ESM2G"
