"M.fc.nsingen.Apfelstetten.weather.YEARMODA","M.fc.nsingen.Apfelstetten.weather.Year","M.fc.nsingen.Apfelstetten.weather.Month","M.fc.nsingen.Apfelstetten.weather.Day","M.fc.nsingen.Apfelstetten.weather.Station_ID","M.fc.nsingen.Apfelstetten.weather.Wind_speed","M.fc.nsingen.Apfelstetten.weather.Wind_speed_max","M.fc.nsingen.Apfelstetten.weather.ATM_pressure","M.fc.nsingen.Apfelstetten.weather.Rainfall","M.fc.nsingen.Apfelstetten.weather.Snow","M.fc.nsingen.Apfelstetten.weather.Tmin_5cm","M.fc.nsingen.Apfelstetten.weather.Tmean","M.fc.nsingen.Apfelstetten.weather.Tmin","M.fc.nsingen.Apfelstetten.weather.Tmax","M.fc.nsingen.Apfelstetten.weather.RH","M.fc.nsingen.Apfelstetten.weather.VPD","M.fc.nsingen.Apfelstetten.database"
19900101,1990,1,1,"03402",NA,NA,NA,0,0,-11.5,-5.3,-10,0.6,92,4.1,"dwd"
19900102,1990,1,2,"03402",NA,NA,NA,0,0,-10.9,-2.5,-8.8,4.3,86,4.5,"dwd"
19900103,1990,1,3,"03402",NA,NA,NA,0,0,-8.3,-3.2,-4.7,-2.3,95,4.6,"dwd"
19900104,1990,1,4,"03402",NA,NA,NA,0,0,-5.4,-5.1,-5.5,-3.3,93,3.9,"dwd"
19900105,1990,1,5,"03402",NA,NA,NA,7.4,0,-10.4,-1.5,-8.5,0.4,94,5.1,"dwd"
19900106,1990,1,6,"03402",NA,NA,NA,0,5,-1.7,-1.4,-2.5,0.5,93,5.2,"dwd"
19900107,1990,1,7,"03402",NA,NA,NA,0,3,-4.2,-4.1,-4.5,-2,92,4.2,"dwd"
19900108,1990,1,8,"03402",NA,NA,NA,0,3,-12.1,-4.1,-9.2,-1.8,90,4,"dwd"
19900109,1990,1,9,"03402",NA,NA,NA,0,3,-7.3,-1.6,-4.3,2.9,91,5.3,"dwd"
19900110,1990,1,10,"03402",NA,NA,NA,0,2,-9,-5.1,-8.1,0.7,89,4.1,"dwd"
19900111,1990,1,11,"03402",NA,NA,NA,0,2,-13.4,-5.7,-10.5,-1,87,3.6,"dwd"
19900112,1990,1,12,"03402",NA,NA,NA,0,2,-11.4,-4,-7.2,0.8,77,3.6,"dwd"
19900113,1990,1,13,"03402",NA,NA,NA,0,2,-10.4,-2.1,-7,3.7,85,4.6,"dwd"
19900114,1990,1,14,"03402",NA,NA,NA,0,2,-9,-2.8,-7,2.8,84,4.3,"dwd"
19900115,1990,1,15,"03402",NA,NA,NA,1.2,2,-7.4,-0.8,-6.2,2.5,85,4.9,"dwd"
19900116,1990,1,16,"03402",NA,NA,NA,0,2,-1,1.6,-0.7,3.6,97,6.7,"dwd"
19900117,1990,1,17,"03402",NA,NA,NA,2,1,-1,2.4,0.1,3.4,96,6.9,"dwd"
