"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-10,-5,7.21069070112549e-06,0
10,-10,-4,3.5627551348751e-05,0
10,-10,-3,0.000175725432791173,0
10,-10,-2,0.000860363455579413,0
10,-10,-1,0.00415633169100331,0
10,-10,0,0.0194955087235828,0
10,-10,1,0.0834301173000518,0
10,-10,2,0.267023339422027,0
10,-10,3,0.49063311198556,0
10,-10,4,0.530573978770469,0
10,-10,5,0.521150777385823,0.22128137970534
10,-10,6,0.582093544286746,1.18082499934793
10,-10,7,0.559723483683658,3.16136292503152
10,-10,8,0.607620098993739,6.21729917466899
10,-10,9,0.603117884002027,10.4855988987157
10,-10,10,0.580007163879496,15.9143470638854
10,-10,11,0.581508481424561,22.4040411727058
10,-10,12,0.594663799283643,29.8791372049204
10,-10,13,0.595885248407976,38.2549954466715
10,-10,14,0.566721297930504,47.4111401993654
10,-10,15,0.573251831794051,57.1967132758103
10,-10,16,0.546209515638866,67.4327297605181
10,-10,17,0.530616047830863,77.9339465313664
10,-10,18,0.483150821130435,88.5206206024517
10,-10,19,0.421468060046948,99.0211778603794
10,-10,20,0.396376733108122,109.278233154426
10,-10,21,0.407535656980794,119.141812451368
10,-10,22,0.381981762473264,128.457123537942
10,-10,23,0,137.077272593145
10,-10,24,0,144.868813586177
10,-10,25,0,151.715681172619
10,-10,26,0,153.487051612095
10,-10,27,0,150.109579463715
10,-10,28,0,146.525019743792
10,-10,29,0,139.607408049177
10,-10,30,0,130.991587639093
10,-9,-5,8.09540409767286e-06,0
10,-9,-4,3.8964269679545e-05,0
10,-9,-3,0.000188980715065041,0
10,-9,-2,0.000914307945892138,0
10,-9,-1,0.0043766315860807,0
10,-9,0,0.0203763013733893,0
10,-9,1,0.0866129635018053,0
10,-9,2,0.275566300824814,0
10,-9,3,0.503179199015516,0
10,-9,4,0.545562360671027,0
10,-9,5,0.539211998916666,0.228348769319149
10,-9,6,0.594579843196097,1.22388512807107
10,-9,7,0.588884024741826,3.25281277073878
10,-9,8,0.625090214242683,6.40506722407892
10,-9,9,0.608713292704126,10.7888190843377
10,-9,10,0.602004496629979,16.328419649702
10,-9,11,0.620787628252973,22.9420453698804
10,-9,12,0.622806592715954,30.5665631691235
10,-9,13,0.601058225776953,39.1089120708208
10,-9,14,0.606713886098636,48.4361078797127
10,-9,15,0.536569598996498,58.3821738906551
10,-9,16,0.537528431265328,68.7648300127073
10,-9,17,0.507097218918638,79.4052201918317
10,-9,18,0.457364804803405,90.1301730368621
10,-9,19,0.434838788241857,100.778456367381
10,-9,20,0.443717745768697,111.191199942139
10,-9,21,0.436961587800488,121.200146463873
10,-9,22,0.389787524756977,130.643156924708
10,-9,23,0.032258920198915,139.368603333619
10,-9,24,0,147.241626657685
10,-9,25,0,154.156555529475
10,-9,26,0,155.867164464327
10,-9,27,0,152.564954000932
10,-9,28,0,148.996082221128
10,-9,29,0,141.659486084534
10,-9,30,0,133.118672683269
10,-8,-5,9.48376160482933e-06,0
10,-8,-4,4.3552351093304e-05,0
10,-8,-3,0.000205781144136816,0
10,-8,-2,0.000979291340096457,0
10,-8,-1,0.00463200768235755,0
10,-8,0,0.0213761788778624,0
10,-8,1,0.0901814126127224,0
10,-8,2,0.284164565441264,0
10,-8,3,0.514991065356061,0
10,-8,4,0.557519073412506,0
10,-8,5,0.56390048432658,0.235650233395981
10,-8,6,0.612041987259209,1.27083540979333
10,-8,7,0.587832981211483,3.35336328560469
10,-8,8,0.630954951132494,6.61430849827293
10,-8,9,0.623850819244475,11.1129386200364
10,-8,10,0.602923608765232,16.7678077551052
10,-8,11,0.628214079737084,23.5219817762052
10,-8,12,0.628779206569363,31.3126455419119
10,-8,13,0.637573851726633,40.031711650589
10,-8,14,0.60006001627091,49.5312725709079
10,-8,15,0.573915705586805,59.6360838334488
10,-8,16,0.539187780275834,70.1710076920178
10,-8,17,0.505960513462148,80.9646392755622
10,-8,18,0.475099005075152,91.8553084137585
10,-8,19,0.484004505117458,102.677624943084
10,-8,20,0.466710633363995,113.252908501504
10,-8,21,0.44658334631135,123.405721901409
10,-8,22,0.410098847457984,132.968761365231
10,-8,23,0.0645620450236261,141.792974995134
10,-8,24,0,149.761660152567
10,-8,25,0,156.771044037179
10,-8,26,0,158.425994219171
10,-8,27,0,155.191059615392
10,-8,28,0,151.573799215064
10,-8,29,0,143.872443467205
10,-8,30,0,135.402933543978
10,-7,-5,1.21682394172101e-05,0
10,-7,-4,5.08019133570312e-05,0
10,-7,-3,0.000229065991706737,0
10,-7,-2,0.00106242798390368,0
10,-7,-1,0.00494188351128838,0
10,-7,0,0.0225496798986793,0
10,-7,1,0.0941942772629385,0
10,-7,2,0.294066534196002,0
10,-7,3,0.526552920729924,0
10,-7,4,0.569554915433908,0
10,-7,5,0.589101255341025,0.243260664901305
10,-7,6,0.619908033429534,1.32167050487125
10,-7,7,0.624157026707663,3.46792822733893
10,-7,8,0.641894335564787,6.84494617375792
10,-7,9,0.601581132854927,11.4580259853209
10,-7,10,0.647864290743085,17.2408346330722
10,-7,11,0.663121317556451,24.1549778380765
10,-7,12,0.639505179697198,32.1252057054738
10,-7,13,0.610956900035467,41.0267990127718
10,-7,14,0.57187121281618,50.6966540552103
10,-7,15,0.592392797958201,60.9660778503961
10,-7,16,0.549426824557447,71.6688616920188
10,-7,17,0.518634381383051,82.6463684965841
10,-7,18,0.526857405475729,93.7292678385297
10,-7,19,0.496315908528427,104.731532478735
10,-7,20,0.501459448182848,115.466803407791
10,-7,21,0.415748445318546,125.755433962956
10,-7,22,0.453006805317114,135.441508283533
10,-7,23,0.0970256199447807,144.391156641301
10,-7,24,0,152.472097650419
10,-7,25,0,159.571193826123
10,-7,26,0,161.16386115306
10,-7,27,0,157.989751437287
10,-7,28,0,154.26310787788
10,-7,29,0,146.27775364052
10,-7,30,0,137.914161934632
10,-6,-5,1.8890658249457e-05,0
10,-6,-4,6.49074754432031e-05,0
10,-6,-3,0.000266164662654934,0
10,-6,-2,0.00117834131695314,0
10,-6,-1,0.00534007779259268,0
10,-6,0,0.0239640134992541,0
10,-6,1,0.0987235805717072,0
10,-6,2,0.304694055304111,0
10,-6,3,0.5377653985046,0
10,-6,4,0.576799633215583,0
10,-6,5,0.606265519220393,0.251945097417388
10,-6,6,0.612464771020425,1.37638441817937
10,-6,7,0.646985329668185,3.60201118601384
10,-6,8,0.651481130034431,7.09688734537794
10,-6,9,0.642451024824442,11.8278658579265
10,-6,10,0.66023569850528,17.7584002510676
10,-6,11,0.671100774109033,24.8510637027669
10,-6,12,0.653371281678241,33.011111123816
10,-6,13,0.608673553501942,42.0938664165556
10,-6,14,0.585708457952223,51.9397678816756
10,-6,15,0.584904513378302,62.3911886385704
10,-6,16,0.567474918174095,73.2960162295857
10,-6,17,0.574276503415272,84.4837099398357
10,-6,18,0.530777630035187,95.7638739261784
10,-6,19,0.529564960095171,106.942119035391
10,-6,20,0.448722861985041,117.832741826857
10,-6,21,0.417567383172738,128.275945345682
10,-6,22,0.486967592435973,138.112119563679
10,-6,23,0.0966098889133138,147.18995952688
10,-6,24,0,155.376829550451
10,-6,25,0,162.559979009131
10,-6,26,0,164.090809151657
