"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,74.5417412965647,2161.5992747257,1070
"2002/2003",2003,120,120,100,68.5638847429573,682.609160090011,1473
"2003/2004",2004,120,120,100,77.9883826153562,971.405634635041,1026
"2004/2005",2005,121,121,100,81.7688125624934,2361.36678357993,873
"2005/2006",2006,120,120,100,74.634211690022,1352.94721907904,1142
"2006/2007",2007,120,120,100,73.3899708896222,1571.40954914805,1170
"2007/2008",2008,120,120,100,61.3815658614323,562.059900086548,1606
"2008/2009",2009,121,121,100,75.9322320694589,2567.64714524412,918
"2009/2010",2010,120,120,100,73.6361084938162,1095.32342863089,1089
"2010/2011",2011,120,120,100,72.4973159949684,968.383071109129,1057
"2011/2012",2012,120,120,100,66.7547344621178,1505.77807891835,1490
"2012/2013",2013,121,121,100,74.7323734792828,1155.46904014004,1148
"2013/2014",2014,120,120,100,62.5345948007634,1161.2774081144,1573
"2014/2015",2015,120,120,100,72.5365713632991,1873.17565788666,1124
"2015/2016",2016,120,120,100,73.0601733318476,1405.00401957077,1274
"2016/2017",2017,121,121,100,74.3003814640133,2341.79409452819,1129
"2017/2018",2018,120,120,100,64.3496302209769,1275.26123292872,1431
"2018/2019",2019,120,120,100,70.3140539902934,1059.46743812051,1360
"2019/2020",2020,120,120,100,78.4084491218628,2347.83734644111,854
"2020/2021",2021,121,121,100,70.2737851386191,846.434374589124,1489
"2021/2022",2022,120,120,100,68.1705555129665,2806.70001806971,1381
"2022/2023",2023,120,120,100,70.1766241206151,1211.3131111227,1225
"2023/2024",2024,120,120,100,79.5712976903305,2389.98888551467,789
"2024/2025",2025,121,121,100,75.5345387101443,818.599338436266,1175
"2025/2026",2026,120,120,100,56.7975880056488,989.558852048824,1868
"2026/2027",2027,120,120,100,79.6323316564035,1661.58644984756,937
"2027/2028",2028,120,120,100,61.7339954941649,349.247333081206,1666
"2028/2029",2029,121,121,100,74.7443004552169,2210.99072722369,1212
"2029/2030",2030,120,120,100,71.7773018757671,1485.54613408842,1345
"2030/2031",2031,120,120,100,78.0531715713323,1412.81319850311,1138
"2031/2032",2032,120,120,100,79.3924786157431,1746.63761818549,881
