"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,74.6282784746588,2941.94603726252,949
"2002/2003",2003,120,120,100,71.8211044082715,1009.79308338709,1280
"2003/2004",2004,120,120,100,80.4870321827214,1388.76440802217,834
"2004/2005",2005,121,121,100,82.5106809601205,3021.53696251157,666
"2005/2006",2006,120,120,100,76.7809758533126,1938.16048887151,965
"2006/2007",2007,120,120,100,74.8499218830485,2182.00649026677,980
"2007/2008",2008,120,120,100,67.7538319447652,838.275900465145,1405
"2008/2009",2009,121,121,100,80.8493348457469,3251.91487955075,744
"2009/2010",2010,120,120,100,78.6425541758526,1503.36266968201,849
"2010/2011",2011,120,120,100,75.7704515085941,1381.6722742978,849
"2011/2012",2012,120,120,100,67.2156986818081,1993.66839167895,1322
"2012/2013",2013,121,121,100,77.6307113431749,1622.84442504158,952
"2013/2014",2014,120,120,100,65.2792965165211,1643.62833490281,1438
"2014/2015",2015,120,120,100,76.5054417565582,2452.56352889072,904
"2015/2016",2016,120,120,100,76.8790067187947,1930.7396028745,1049
"2016/2017",2017,121,121,100,77.0721703738527,3037.24995607429,965
"2017/2018",2018,120,120,100,69.0714417363902,1724.0820265346,1253
"2018/2019",2019,120,120,100,73.4470194031705,1500.43975866423,1137
"2019/2020",2020,120,120,100,80.5002818569137,3050.14394781319,700
"2020/2021",2021,121,121,100,75.0105479125227,1221.36211380619,1266
"2021/2022",2022,120,120,100,67.9986153472487,3445.74740363308,1215
"2022/2023",2023,120,120,100,73.4324197362316,1714.08372203866,998
"2023/2024",2024,120,120,100,81.8915900742486,3159.78352210647,612
"2024/2025",2025,121,121,100,78.5601356231841,1205.78453016863,959
"2025/2026",2026,120,120,100,60.2924565203211,1310.16007699398,1708
"2026/2027",2027,120,120,100,82.5108645944169,2342.77874567755,758
"2027/2028",2028,120,120,100,67.6465695150164,502.605908493279,1469
"2028/2029",2029,121,121,100,76.6298338725492,2861.44499616465,1004
"2029/2030",2030,120,120,100,73.6487191419683,2101.37569750054,1184
"2030/2031",2031,120,120,100,78.5446331980465,1998.20182598289,926
"2031/2032",2032,120,120,100,82.0509038828804,2393.3611596839,716
"2032/2033",2033,121,121,100,70.780045890674,948.671806498198,1388
"2033/2034",2034,120,120,100,66.9215171574151,2432.96827190742,1308
"2034/2035",2035,120,120,100,71.5477441651365,2449.05464028846,1231
"2035/2036",2036,120,120,100,75.8772634165534,1889.8063459238,1022
"2036/2037",2037,121,121,100,71.9564703820906,1368.60299040657,1317
"2037/2038",2038,120,120,100,76.2808467514615,2006.27481696056,1011
"2038/2039",2039,120,120,100,83.0970216014211,2489.36585089378,600
"2039/2040",2040,120,120,100,80.6514626563458,2469.91549793724,874
"2040/2041",2041,121,121,100,79.3375529026252,1958.81543857884,853
"2041/2042",2042,120,120,100,80.5234564681805,2532.5610533799,718
"2042/2043",2043,120,120,100,72.7593417967473,1161.98576415284,1453
"2043/2044",2044,120,120,100,80.2270078136216,1834.11018383084,785
"2044/2045",2045,121,121,100,71.054977501376,1062.0507561448,1356
"2045/2046",2046,120,120,100,71.5980312715574,3038.43744645035,1131
"2046/2047",2047,120,120,100,73.1784600418832,1782.29166597361,1137
"2047/2048",2048,120,120,100,74.2877968509174,1169.77428920334,1136
"2048/2049",2049,121,121,100,74.889529997301,1285.22748116497,1182
"2049/2050",2050,120,120,100,72.9616259965514,529.978986216709,1471
"2050/2051",2051,120,120,100,74.1066448154297,2755.29573685955,1216
"2051/2052",2052,120,120,100,77.21429002067,3058.81476449734,817
"2052/2053",2053,121,121,100,78.8499013830688,2312.06316896249,904
"2053/2054",2054,120,120,100,78.8391573435301,2562.16999146622,816
"2054/2055",2055,120,120,100,76.0245074935656,1642.1406239979,1047
"2055/2056",2056,120,120,100,70.365471972289,3859.57707282668,1109
"2056/2057",2057,121,121,100,65.5815965124584,1470.95333387703,1164
"2057/2058",2058,120,120,100,80.197426298686,1987.06903002691,814
"2058/2059",2059,120,120,100,70.2978554096971,1199.59610317647,1259
"2059/2060",2060,120,120,100,77.0930065108569,3002.68057863368,909
"2060/2061",2061,121,121,100,79.6568375495572,3536.97952184593,799
"2061/2062",2062,120,120,100,63.8176606287689,880.107598283328,1538
"2062/2063",2063,120,120,100,70.9938091243384,1388.63622207334,1224
"2063/2064",2064,120,120,100,73.3837491054073,1550.2690977403,1257
"2064/2065",2065,121,121,100,78.6363408965281,1556.72753847437,933
"2065/2066",2066,120,120,100,82.6785457969145,1442.42931216862,670
"2066/2067",2067,120,120,100,69.6395634297533,1192.21319844946,1343
"2067/2068",2068,120,120,100,84.2617124174412,2986.05718828738,635
"2068/2069",2069,121,121,100,75.920858703641,1752.56293164473,1102
"2069/2070",2070,120,120,100,73.9753087463214,2017.87886188412,953
"2070/2071",2071,120,120,100,71.7901827959595,2569.29811171954,1162
"2071/2072",2072,120,120,100,69.9341322104519,1620.07937337318,1171
"2072/2073",2073,121,121,100,83.0829831313604,3525.61204108596,592
"2073/2074",2074,120,120,100,66.3649644946454,3424.68229101459,1194
"2074/2075",2075,120,120,100,78.8842567742813,3094.33854231192,889
"2075/2076",2076,120,120,100,83.1997581595569,2680.77052225359,609
"2076/2077",2077,121,121,100,73.8796682663815,949.016123697162,1329
"2077/2078",2078,120,120,100,70.3366105498153,941.238289423287,1334
"2078/2079",2079,120,120,100,74.7845982880772,1202.48963609803,933
"2079/2080",2080,120,120,100,80.1423009967184,1997.7607020326,787
"2080/2081",2081,121,121,100,71.9523309857286,2276.2037150003,1144
"2081/2082",2082,120,120,100,76.4724905862386,2682.42759698629,862
"2082/2083",2083,120,120,100,73.552778158517,2545.4352071546,920
"2083/2084",2084,120,120,100,76.4151189844142,1272.98076343536,1099
"2084/2085",2085,121,121,100,69.9619302477022,1663.98115083296,1099
"2085/2086",2086,120,120,100,74.1518690295707,1987.04252851289,1088
"2086/2087",2087,120,120,100,73.9981888961065,1665.28461840097,1182
"2087/2088",2088,120,120,100,72.9299342992654,1839.56488938071,1205
"2088/2089",2089,121,121,100,76.0395930296654,1944.87945847306,1027
"2089/2090",2090,120,120,100,74.2554886881535,1027.35917619895,1227
"2090/2091",2091,120,120,100,69.9622172351828,1501.27771872096,1331
"2091/2092",2092,120,120,100,71.9791679335758,898.891717323102,1278
"2092/2093",2093,121,121,100,77.3166271167829,2300.77538486477,912
"2093/2094",2094,120,120,100,69.2021877089519,2467.14634723123,1283
"2094/2095",2095,120,120,100,79.516946132926,1200.23119813297,1008
"2095/2096",2096,120,120,100,78.7792287282045,3180.43109627347,801
"2096/2097",2097,121,121,100,67.8535375227839,4920.21567577403,1085
"2097/2098",2098,120,120,100,71.1510545009114,2143.83243131731,1228
"2098/2099",2099,120,120,100,77.385280028906,1708.30106165912,946
"2099/2100",2100,120,120,100,76.4476677655839,2226.12894456554,841
"2100/2101",2101,120,120,100,76.9904889042682,1818.37252333667,1041
