"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,75.3407334593446,2462.05204683958,1017
"2002/2003",2003,120,120,100,68.4345228408997,847.977313457872,1425
"2003/2004",2004,120,120,100,79.4650032984819,1109.98169191406,956
"2004/2005",2005,121,121,100,81.560653052862,2452.5766515435,771
"2005/2006",2006,120,120,100,75.0566328373751,1521.0719559734,1104
"2006/2007",2007,120,120,100,73.9424739474096,1763.44536932226,1092
"2007/2008",2008,120,120,100,64.7855884384497,697.089675500756,1543
"2008/2009",2009,121,121,100,77.7458967996959,2668.57165486942,869
"2009/2010",2010,120,120,100,77.9272180709638,1190.01585974405,996
"2010/2011",2011,120,120,100,72.9862628954172,1028.10582560394,1021
"2011/2012",2012,120,120,100,67.2564020697359,1613.54668911779,1428
"2012/2013",2013,121,121,100,76.7882429135705,1329.59812603507,1108
"2013/2014",2014,120,120,100,63.4324125217038,1282.7322958709,1524
"2014/2015",2015,120,120,100,74.806948091722,2069.63108531886,1044
"2015/2016",2016,120,120,100,74.1531110133733,1500.12745927542,1177
"2016/2017",2017,121,121,100,74.1379164903997,2613.34395752102,1066
"2017/2018",2018,120,120,100,68.127941157275,1349.99213779799,1368
"2018/2019",2019,120,120,100,69.8603902286609,1230.10321916686,1279
"2019/2020",2020,120,120,100,78.714639473325,2549.84027435561,800
"2020/2021",2021,121,121,100,72.9116443670614,954.776490042452,1417
"2021/2022",2022,120,120,100,67.7158868763427,2926.67456518346,1346
"2022/2023",2023,120,120,100,71.5462927789818,1327.64026497211,1163
"2023/2024",2024,120,120,100,79.5169748419471,2699.88618749147,728
"2024/2025",2025,121,121,100,76.7741105184678,989.494275238132,1138
"2025/2026",2026,120,120,100,56.954288465573,1134.24549817876,1778
"2026/2027",2027,120,120,100,81.3198649841706,1928.15091325273,873
"2027/2028",2028,120,120,100,64.8148223262156,332.289567983476,1619
"2028/2029",2029,121,121,100,75.1823987848506,2298.63667619973,1133
"2029/2030",2030,120,120,100,72.4466925802435,1827.57053818717,1292
"2030/2031",2031,120,120,100,77.3395202498359,1721.79129370837,1080
"2031/2032",2032,120,120,100,80.5888269187999,1910.77837381302,825
"2032/2033",2033,121,121,100,66.787696513763,734.582029223908,1500
"2033/2034",2034,120,120,100,66.4327494247264,1975.40015228558,1401
"2034/2035",2035,120,120,100,69.4124330539307,2086.78635662887,1359
"2035/2036",2036,120,120,100,73.8334725468567,1535.15145983524,1139
"2036/2037",2037,121,121,100,69.7175373096488,1121.2126031185,1414
"2037/2038",2038,120,120,100,74.1912940337052,1531.82529892586,1141
"2038/2039",2039,120,120,100,79.8263613101353,2037.74581122305,711
"2039/2040",2040,120,120,100,77.6429338923581,2074.91678313119,1033
"2040/2041",2041,121,121,100,77.7437411744022,1558.22669711662,985
"2041/2042",2042,120,120,100,79.5300478773215,1990.83912979858,764
"2042/2043",2043,120,120,100,68.9373492962432,906.072592397686,1549
"2043/2044",2044,120,120,100,79.6498562612924,1371.23030021694,908
"2044/2045",2045,121,121,100,66.7830036010337,811.667477357201,1506
"2045/2046",2046,120,120,100,69.0169434574909,2595.18076496711,1249
"2046/2047",2047,120,120,100,71.8842844556166,1446.06533373334,1271
"2047/2048",2048,120,120,100,70.8020646430596,846.796956839506,1271
"2048/2049",2049,121,121,100,72.8832366426395,1071.44202470733,1376
"2049/2050",2050,120,120,100,69.2996866208714,389.539324963,1638
"2050/2051",2051,120,120,100,71.7698592740871,2367.08559423359,1338
"2051/2052",2052,120,120,100,75.8127335557638,2683.15666868305,895
"2052/2053",2053,121,121,100,75.8312409523896,1986.37505943142,997
"2053/2054",2054,120,120,100,76.4001280610692,1978.80292179761,936
"2054/2055",2055,120,120,100,74.5261322364468,1291.14174144808,1167
"2055/2056",2056,120,120,100,67.0697829492447,3448.12989533786,1255
"2056/2057",2057,121,121,100,63.0666129637366,1274.54463794082,1317
"2057/2058",2058,120,120,100,78.6775721654549,1530.59639632003,944
"2058/2059",2059,120,120,100,68.502628041304,935.236702742521,1378
"2059/2060",2060,120,120,100,75.9006507663034,2383.15540210297,998
"2060/2061",2061,121,121,100,79.0395729305474,2897.18233049288,905
"2061/2062",2062,120,120,100,61.8891145206962,657.981395128183,1732
"2062/2063",2063,120,120,100,68.0184765093563,1224.42390714679,1415
"2063/2064",2064,120,120,100,71.917986019429,1121.86566904094,1354
"2064/2065",2065,121,121,100,76.6061969952098,1253.95124706766,1079
"2065/2066",2066,120,120,100,80.5599523940491,1108.9074692158,804
"2066/2067",2067,120,120,100,67.4920102636079,936.226358024403,1509
"2067/2068",2068,120,120,100,81.1574690368561,2416.17483981699,737
"2068/2069",2069,121,121,100,74.0603309983726,1351.27748622093,1235
"2069/2070",2070,120,120,100,72.6757086457874,1555.82220044313,1053
"2070/2071",2071,120,120,100,69.54813002232,2257.7382386378,1275
"2071/2072",2072,120,120,100,68.2143066241151,1291.36348696984,1290
"2072/2073",2073,121,121,100,81.913803910862,2932.01470610453,674
"2073/2074",2074,120,120,100,64.9290836034434,2969.28437369457,1310
"2074/2075",2075,120,120,100,75.6618452329731,2716.70839358075,1003
"2075/2076",2076,120,120,100,82.3131947128586,2152.87978087831,691
"2076/2077",2077,121,121,100,70.2746526056908,765.006235871464,1478
"2077/2078",2078,120,120,100,66.7404045918665,706.083168528043,1468
"2078/2079",2079,120,120,100,73.121944151253,865.08230927214,1058
"2079/2080",2080,120,120,100,77.8073802144227,1668.78696822375,892
"2080/2081",2081,121,121,100,69.4267143867582,1689.01271795575,1214
"2081/2082",2082,120,120,100,75.0125461446751,2184.68093146849,963
"2082/2083",2083,120,120,100,73.5369013996751,2130.76059284899,1021
"2083/2084",2084,120,120,100,74.6885702645504,1089.87730844319,1236
"2084/2085",2085,121,121,100,68.6666060507523,1420.9443947766,1209
"2085/2086",2086,120,120,100,72.3714881082396,1486.51998740062,1196
"2086/2087",2087,120,120,100,72.4311242971817,1296.55469712429,1289
"2087/2088",2088,120,120,100,70.6199859985263,1413.5443942761,1311
"2088/2089",2089,121,121,100,73.8949235993059,1537.22392927762,1176
"2089/2090",2090,120,120,100,72.7533252532849,832.814693903551,1432
"2090/2091",2091,120,120,100,68.2927854250065,1078.33026739489,1424
"2091/2092",2092,120,120,100,70.8503245822321,647.969934334047,1428
"2092/2093",2093,121,121,100,76.7768719098767,1870.33231315855,1011
"2093/2094",2094,120,120,100,69.2858975064719,1857.03202280588,1324
"2094/2095",2095,120,120,100,76.0496781679594,897.234405227937,1136
"2095/2096",2096,120,120,100,77.9163695560637,2663.49446106795,928
"2096/2097",2097,121,121,100,67.5759326400566,4374.15541285276,1177
"2097/2098",2098,120,120,100,69.385587584009,1681.667040403,1308
"2098/2099",2099,120,120,100,75.6846874047369,1343.18858237937,1052
"2099/2100",2100,120,120,100,73.1278753221977,1887.90977980848,1011
"2100/2101",2101,120,120,100,75.3439841266409,1332.28219565377,1157
