"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,75.1230202097091,2572.29290356416,1018
"2002/2003",2003,120,120,100,70.8845644567155,793.079469337579,1356
"2003/2004",2004,120,120,100,79.1830589790945,1094.08501733089,939
"2004/2005",2005,121,121,100,82.0961658103895,2569.94251835186,778
"2005/2006",2006,120,120,100,76.2888054982451,1693.91323614301,1059
"2006/2007",2007,120,120,100,74.3049648309475,1835.3831044758,1100
"2007/2008",2008,120,120,100,62.1040145144474,664.54167877842,1517
"2008/2009",2009,121,121,100,77.8135109514997,2885.20881902252,796
"2009/2010",2010,120,120,100,76.4869663620391,1274.00464396202,964
"2010/2011",2011,120,120,100,72.937733062349,1158.41452787572,954
"2011/2012",2012,120,120,100,67.0563620163905,1842.67912240489,1394
"2012/2013",2013,121,121,100,75.0872971258207,1374.26320861944,1055
"2013/2014",2014,120,120,100,65.6310775318261,1437.69642294175,1510
"2014/2015",2015,120,120,100,75.3210717778529,2152.25953913946,965
"2015/2016",2016,120,120,100,73.146384281637,1740.48387698072,1162
"2016/2017",2017,121,121,100,74.9363072700571,2642.15040497296,1045
"2017/2018",2018,120,120,100,65.2085614870612,1561.80713334691,1353
"2018/2019",2019,120,120,100,70.7744829658182,1261.0618807018,1263
"2019/2020",2020,120,120,100,78.6947771389782,2622.76261423621,773
"2020/2021",2021,121,121,100,72.6794766419216,1022.22285207571,1339
"2021/2022",2022,120,120,100,66.3178222266647,3252.79620466707,1326
"2022/2023",2023,120,120,100,70.8207460826434,1586.02922116918,1161
"2023/2024",2024,120,120,100,79.8014294211348,2706.74755764264,738
"2024/2025",2025,121,121,100,77.1688245102391,878.285771221388,1043
"2025/2026",2026,120,120,100,58.8365514831376,1032.79584968043,1822
"2026/2027",2027,120,120,100,81.7750335308319,1966.90320145804,866
"2027/2028",2028,120,120,100,62.2109541736072,435.475085202837,1551
"2028/2029",2029,121,121,100,74.749667315536,2663.29875659966,1114
"2029/2030",2030,120,120,100,71.6468880735056,1708.82074029418,1262
"2030/2031",2031,120,120,100,78.3177865271746,1615.00800849078,1018
"2031/2032",2032,120,120,100,80.2147108852814,2064.81519573601,819
"2032/2033",2033,121,121,100,67.2492922986039,783.75980263669,1509
"2033/2034",2034,120,120,100,66.1767839993254,2285.71326925349,1420
"2034/2035",2035,120,120,100,68.4002275840639,2174.37042039214,1286
"2035/2036",2036,120,120,100,74.7111853793313,1573.49903383222,1092
