"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,77.431300331902,3108.5263475769,836
"2002/2003",2003,120,120,100,73.0225890851569,1104.32294386397,1191
"2003/2004",2004,120,120,100,82.2888312097999,1615.13848992737,675
"2004/2005",2005,121,121,100,84.5738537524268,3430.6791275483,559
"2005/2006",2006,120,120,100,78.6858723103385,2049.2931753046,816
"2006/2007",2007,120,120,100,77.2709982248203,2367.80927866936,797
"2007/2008",2008,120,120,100,69.4055568806075,911.105650372163,1197
"2008/2009",2009,121,121,100,79.0293134855292,3554.66677223734,643
"2009/2010",2010,120,120,100,80.7120986359846,1673.45380959468,653
"2010/2011",2011,120,120,100,76.3133595602933,1551.84671103884,704
"2011/2012",2012,120,120,100,67.679740542507,2105.48183898721,1235
"2012/2013",2013,121,121,100,80.0337247891814,1721.60675150261,795
"2013/2014",2014,120,120,100,69.1961507930168,1705.8370466698,1358
"2014/2015",2015,120,120,100,78.4399115196907,2581.46024841059,771
"2015/2016",2016,120,120,100,78.0008020964465,2062.72491863405,941
"2016/2017",2017,121,121,100,77.7417924339406,3237.98275341489,856
"2017/2018",2018,120,120,100,71.2318939263514,1825.57967577747,1089
"2018/2019",2019,120,120,100,75.0120615205137,1619.08454562118,969
"2019/2020",2020,120,120,100,82.0084025938249,3347.96392473881,584
"2020/2021",2021,121,121,100,76.1652765339381,1312.10925334156,1130
"2021/2022",2022,120,120,100,71.2261156587974,3511.17093485803,1031
"2022/2023",2023,120,120,100,75.5911476788565,1797.66183233936,839
"2023/2024",2024,120,120,100,83.4526072822905,3455.23835573927,467
"2024/2025",2025,121,121,100,80.5083522314385,1467.05899546784,840
"2025/2026",2026,120,120,100,62.1528368017994,1463.7312657421,1607
"2026/2027",2027,120,120,100,84.6919688331172,2517.90958018461,613
"2027/2028",2028,120,120,100,68.7939975822383,572.389832470566,1345
"2028/2029",2029,121,121,100,78.528701768756,2959.01039243396,853
"2029/2030",2030,120,120,100,75.9154956958764,2243.99135286361,1054
"2030/2031",2031,120,120,100,81.1306455605027,2162.15607787855,787
"2031/2032",2032,120,120,100,83.9071818003576,2586.338662653,612
"2032/2033",2033,121,121,100,71.0364357843546,999.889748662943,1295
"2033/2034",2034,120,120,100,69.1621549054762,2510.76537678647,1144
"2034/2035",2035,120,120,100,72.5160532824339,2521.43539605988,1102
"2035/2036",2036,120,120,100,78.2493787410449,2038.73876551702,909
"2036/2037",2037,121,121,100,74.379562451566,1437.1015114258,1201
"2037/2038",2038,120,120,100,79.6778541576114,2139.20395582216,876
