"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,70.9999513722365,1329.48676387565,1071
"2002/2003",2003,120,120,100,63.1016473292095,483.493085668204,1631
"2003/2004",2004,120,120,100,74.7418177613813,583.505228117268,1035
"2004/2005",2005,121,121,100,78.7601283792475,1563.64150384147,902
"2005/2006",2006,120,120,100,72.4659087270844,736.679761924373,1268
"2006/2007",2007,120,120,100,72.6137726058778,802.445310842711,1089
"2007/2008",2008,120,120,100,59.1021652747831,313.442950448283,1694
"2008/2009",2009,121,121,100,75.7910664491633,1606.4906155233,1038
"2009/2010",2010,120,120,100,72.3406878914882,587.535643727402,1130
"2010/2011",2011,120,120,100,70.8114548641008,475.669721730985,1169
"2011/2012",2012,120,120,100,62.5478318447904,889.183951806917,1569
"2012/2013",2013,121,121,100,71.2021484047327,583.863650674524,1256
"2013/2014",2014,120,120,100,59.9952443393245,519.008838687325,1680
"2014/2015",2015,120,120,100,69.657655538877,1024.84757114027,1138
"2015/2016",2016,120,120,100,71.3215176942172,665.817185464723,1315
"2016/2017",2017,121,121,100,72.1551556313966,1517.33717590058,1196
"2017/2018",2018,120,120,100,64.3651026786852,652.181164672598,1469
"2018/2019",2019,120,120,100,65.5355748276293,564.233106642962,1382
"2019/2020",2020,120,120,100,77.7891058682017,1446.94064325758,886
"2020/2021",2021,121,121,100,66.5330015074614,411.806945196353,1581
"2021/2022",2022,120,120,100,64.1530265918914,1649.0628454379,1487
"2022/2023",2023,120,120,100,63.9069487467568,589.368739634985,1264
"2023/2024",2024,120,120,100,78.7979443195927,1619.04711235722,797
"2024/2025",2025,121,121,100,71.0822709285731,636.980040965369,1289
"2025/2026",2026,120,120,100,52.1005163531045,602.522057988564,1821
"2026/2027",2027,120,120,100,76.6975262506321,1060.10468106531,953
"2027/2028",2028,120,120,100,55.3327744211283,130.502232737839,1875
"2028/2029",2029,121,121,100,71.4563423273794,1118.78408689285,1210
"2029/2030",2030,120,120,100,69.0587905551774,1034.61119029857,1392
"2030/2031",2031,120,120,100,74.3644600039797,1011.45566020277,1303
"2031/2032",2032,120,120,100,79.9122207945138,872.656926562078,920
"2032/2033",2033,121,121,100,62.0531395109338,299.110353405122,1656
"2033/2034",2034,120,120,100,64.9542582204103,993.622410325333,1448
"2034/2035",2035,120,120,100,61.3381118247989,1122.81246139971,1483
"2035/2036",2036,120,120,100,69.4711775421256,724.171831355663,1218
"2036/2037",2037,121,121,100,64.7616344805856,479.739106609486,1599
"2037/2038",2038,120,120,100,70.5540254543121,702.51077009202,1246
"2038/2039",2039,120,120,100,77.7372312859097,1160.88209677115,811
"2039/2040",2040,120,120,100,73.8371009801904,997.340012092842,1107
"2040/2041",2041,121,121,100,72.0349314804353,836.444752093405,1118
"2041/2042",2042,120,120,100,77.2252325328645,991.476263099583,812
"2042/2043",2043,120,120,100,64.8157960220487,382.601966641843,1674
"2043/2044",2044,120,120,100,75.3297045337067,614.668337381445,986
"2044/2045",2045,121,121,100,60.2400608630069,286.704150702804,1717
"2045/2046",2046,120,120,100,70.2963525684372,1368.94797943928,1331
"2046/2047",2047,120,120,100,66.6219983400333,615.440436716657,1372
"2047/2048",2048,120,120,100,66.3198330644136,278.1491057612,1421
"2048/2049",2049,121,121,100,66.9063049795514,447.204654493835,1625
"2049/2050",2050,120,120,100,60.835627599432,103.563110266812,1826
"2050/2051",2051,120,120,100,68.3465970234811,1216.00170846446,1396
"2051/2052",2052,120,120,100,76.6665626977356,1531.37668872532,955
"2052/2053",2053,121,121,100,72.0253251433478,1262.92675962881,1060
"2053/2054",2054,120,120,100,73.4786880024094,981.737194532994,1025
"2054/2055",2055,120,120,100,69.1651810948078,484.17986942688,1229
"2055/2056",2056,120,120,100,64.8303190606839,2122.12935081637,1343
"2056/2057",2057,121,121,100,59.8935035913892,761.061365715228,1522
"2057/2058",2058,120,120,100,76.5621764887546,646.209213282913,1064
"2058/2059",2059,120,120,100,63.519987794567,355.648664006032,1491
"2059/2060",2060,120,120,100,73.6632365030382,1120.67947090114,1044
"2060/2061",2061,121,121,100,78.9036751883359,1537.16061950498,937
"2061/2062",2062,120,120,100,55.9596986295273,294.236776329577,1907
"2062/2063",2063,120,120,100,60.1816092961453,758.752254899591,1605
"2063/2064",2064,120,120,100,66.1690611552349,592.530734205619,1467
"2064/2065",2065,121,121,100,70.6480598733378,667.965695003048,1234
"2065/2066",2066,120,120,100,76.0640282361146,508.162212485913,962
"2066/2067",2067,120,120,100,58.4402213924077,340.990739135537,1684
"2067/2068",2068,120,120,100,78.183877060892,1347.0820215554,826
"2068/2069",2069,121,121,100,70.6050639403402,560.344321127515,1389
"2069/2070",2070,120,120,100,70.6410938488043,660.817660312168,1112
"2070/2071",2071,120,120,100,67.3964718935331,1260.83467594255,1324
"2071/2072",2072,120,120,100,63.5715335053064,752.336696118116,1495
"2072/2073",2073,121,121,100,80.8360410302357,1648.11114711594,720
"2073/2074",2074,120,120,100,65.439765652045,1653.10252154386,1388
"2074/2075",2075,120,120,100,73.410873068462,1667.51578344032,1115
"2075/2076",2076,120,120,100,79.8301423944959,1079.1961953612,789
"2076/2077",2077,121,121,100,65.7179534225415,438.449622476008,1612
"2077/2078",2078,120,120,100,61.9486429653007,252.86294979509,1598
"2078/2079",2079,120,120,100,67.8451562076589,389.088202822953,1269
"2079/2080",2080,120,120,100,75.3133563956217,1204.5206866907,1040
"2080/2081",2081,121,121,100,64.9196270326411,693.178197772708,1301
"2081/2082",2082,120,120,100,72.5247633826675,1079.89538826467,1059
"2082/2083",2083,120,120,100,70.5044611259309,1087.6389350933,1116
"2083/2084",2084,120,120,100,67.3643183574441,668.434065766167,1403
"2084/2085",2085,121,121,100,62.8303823806727,672.116831096355,1287
"2085/2086",2086,120,120,100,67.3677897694888,652.825471458025,1307
"2086/2087",2087,120,120,100,68.4911452436736,581.408788977191,1445
"2087/2088",2088,120,120,100,64.8910061807601,647.101405256428,1423
"2088/2089",2089,121,121,100,71.3290947577843,672.612862246111,1289
"2089/2090",2090,120,120,100,64.6905095359507,358.448204676155,1587
"2090/2091",2091,120,120,100,63.1957109152536,422.402025582734,1545
"2091/2092",2092,120,120,100,64.3880488149953,258.513892190531,1633
"2092/2093",2093,121,121,100,74.0964749158884,906.411566909403,1079
"2093/2094",2094,120,120,100,64.9380239934471,826.945965549443,1379
"2094/2095",2095,120,120,100,71.8547395254354,371.338074970059,1342
"2095/2096",2096,120,120,100,76.5366071448516,1359.25260767154,983
"2096/2097",2097,121,121,100,69.1986075677778,2842.49424340809,1240
"2097/2098",2098,120,120,100,65.7318501241461,798.297119596973,1395
"2098/2099",2099,120,120,100,72.0370134808036,676.084152164869,1195
"2099/2100",2100,120,120,100,70.9647615679824,902.613331046421,1121
"2100/2101",2101,120,120,100,70.4795152613297,555.523666155059,1257
