"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,76.9793810009721,2134.83015539077,922
"2002/2003",2003,120,120,100,70.223603368101,823.780919625759,1309
"2003/2004",2004,120,120,100,80.5909503848844,916.77318760028,759
"2004/2005",2005,121,121,100,83.7525114928191,2390.30909535819,617
"2005/2006",2006,120,120,100,75.588041473817,1393.74464124726,962
"2006/2007",2007,120,120,100,75.853565110617,1411.91336405877,865
"2007/2008",2008,120,120,100,64.2405190598606,525.248078264529,1369
"2008/2009",2009,121,121,100,78.8959602872669,2562.84988633933,773
"2009/2010",2010,120,120,100,79.6977435986423,1048.02836763428,801
"2010/2011",2011,120,120,100,74.2773925759643,894.772333373141,839
"2011/2012",2012,120,120,100,66.9176554623411,1533.78970220586,1343
"2012/2013",2013,121,121,100,78.2397935712033,1023.04731816886,896
"2013/2014",2014,120,120,100,65.075431557239,968.588554772141,1436
"2014/2015",2015,120,120,100,77.2717604660384,1628.45223663351,835
"2015/2016",2016,120,120,100,75.6525474456871,1302.60832524311,1087
"2016/2017",2017,121,121,100,77.2739420685484,2282.29205654853,976
"2017/2018",2018,120,120,100,68.5008500301055,1136.67164569744,1202
"2018/2019",2019,120,120,100,71.2737989727461,965.728409371921,1081
"2019/2020",2020,120,120,100,81.8619200185167,2296.26985784981,688
"2020/2021",2021,121,121,100,73.0268645985402,807.928458596696,1215
"2021/2022",2022,120,120,100,70.1272151984194,2443.16815965925,1195
"2022/2023",2023,120,120,100,72.0798360371068,1176.06554450712,999
"2023/2024",2024,120,120,100,82.2904034138164,2396.34164549841,532
"2024/2025",2025,121,121,100,77.6877477327907,995.196915907436,1025
"2025/2026",2026,120,120,100,57.8141901281761,895.464222235256,1702
"2026/2027",2027,120,120,100,80.5366217648825,1746.72939074365,692
"2027/2028",2028,120,120,100,63.957382137899,322.024176795734,1545
"2028/2029",2029,121,121,100,77.9558529487376,1965.99092674837,929
"2029/2030",2030,120,120,100,72.198335936072,1609.20729065314,1149
"2030/2031",2031,120,120,100,78.9582675655647,1535.34640688892,898
"2031/2032",2032,120,120,100,83.6382117535568,1600.04867904307,700
"2032/2033",2033,121,121,100,67.2198329523299,623.842982224887,1417
"2033/2034",2034,120,120,100,68.7080220245571,1641.06545927841,1230
"2034/2035",2035,120,120,100,68.9912090002272,1753.01150283194,1199
"2035/2036",2036,120,120,100,75.092141168655,1254.01788209565,966
"2036/2037",2037,121,121,100,70.9882641310578,816.48728214018,1331
"2037/2038",2038,120,120,100,75.9690862879579,1396.46138961613,991
"2038/2039",2039,120,120,100,81.9061331630992,1900.90791282873,565
"2039/2040",2040,120,120,100,79.7460875896704,1611.96075674216,774
"2040/2041",2041,121,121,100,77.4142985989811,1485.43259486137,873
"2041/2042",2042,120,120,100,81.0065926718171,1716.23700843379,658
"2042/2043",2043,120,120,100,69.4120875414756,810.587907752721,1443
"2043/2044",2044,120,120,100,79.8681323236588,1240.45311580575,659
"2044/2045",2045,121,121,100,67.7427447160899,568.672863170039,1368
"2045/2046",2046,120,120,100,73.0743429914801,2048.72102042916,1019
"2046/2047",2047,120,120,100,72.3822733370362,1142.18450031639,1097
"2047/2048",2048,120,120,100,73.2593752885823,687.348321919097,1114
"2048/2049",2049,121,121,100,74.0072601302709,819.524842501385,1155
"2049/2050",2050,120,120,100,69.335014201004,244.672008194262,1466
"2050/2051",2051,120,120,100,72.9684827028486,1847.23480314109,1152
"2051/2052",2052,120,120,100,79.1998303557484,2215.7349112872,705
"2052/2053",2053,121,121,100,77.0627415611343,1904.72253588028,846
"2053/2054",2054,120,120,100,78.9773155991661,1936.09646513592,771
"2054/2055",2055,120,120,100,74.2805778052261,984.286627402063,968
"2055/2056",2056,120,120,100,69.8832404155073,2876.45022357767,1029
"2056/2057",2057,121,121,100,65.0296794412461,1065.01208477933,1165
"2057/2058",2058,120,120,100,80.8891591250704,1352.20540483855,799
"2058/2059",2059,120,120,100,67.9672257571656,696.32681381423,1226
"2059/2060",2060,120,120,100,77.5116618450302,2034.85112478305,809
"2060/2061",2061,121,121,100,82.1960578735998,2477.79506446887,736
"2061/2062",2062,120,120,100,61.8358775804281,596.1072674389,1584
"2062/2063",2063,120,120,100,67.8914412587001,1176.08888938092,1250
"2063/2064",2064,120,120,100,72.2080842465293,1222.14314211207,1281
"2064/2065",2065,121,121,100,74.7506188153875,1174.64747729385,926
"2065/2066",2066,120,120,100,81.7814510701592,951.977581860498,577
"2066/2067",2067,120,120,100,67.6315394478643,678.847165037878,1381
