"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,72.0454004104555,1598.71779068746,1056
"2002/2003",2003,120,120,100,65.889579929452,479.787006477083,1492
"2003/2004",2004,120,120,100,76.8246158495008,572.587583493427,1025
"2004/2005",2005,121,121,100,79.7196008261093,1691.2445441965,842
"2005/2006",2006,120,120,100,72.5542499592527,943.586769442627,1141
"2006/2007",2007,120,120,100,72.9439908578261,990.037650168204,1131
"2007/2008",2008,120,120,100,59.5579015964638,327.086392115045,1600
"2008/2009",2009,121,121,100,78.1105838676624,1877.73656632681,919
"2009/2010",2010,120,120,100,72.3694380389181,685.515237208514,1069
"2010/2011",2011,120,120,100,71.8376623768916,575.09594042867,1055
"2011/2012",2012,120,120,100,63.8142991198658,1187.09902265307,1497
"2012/2013",2013,121,121,100,71.9269800034772,699.4381991509,1142
"2013/2014",2014,120,120,100,61.2686811303242,781.80744206073,1583
"2014/2015",2015,120,120,100,70.8557770255711,1305.60312588699,1092
"2015/2016",2016,120,120,100,70.1498757461413,956.976944606984,1269
"2016/2017",2017,121,121,100,71.0846234369774,1782.97719499853,1142
"2017/2018",2018,120,120,100,63.287183115388,935.350125848316,1476
"2018/2019",2019,120,120,100,66.6555333035944,679.984043825767,1385
"2019/2020",2020,120,120,100,78.0523280508814,1661.58616769721,855
"2020/2021",2021,121,121,100,67.8536544037702,522.488889108296,1477
"2021/2022",2022,120,120,100,65.1385463606134,2217.93207485962,1418
"2022/2023",2023,120,120,100,65.5444101550925,843.994661023957,1251
"2023/2024",2024,120,120,100,79.4908657733467,1745.45045105403,781
"2024/2025",2025,121,121,100,73.3711595432933,547.857148072682,1231
"2025/2026",2026,120,120,100,52.2800335155262,639.366198642412,1860
"2026/2027",2027,120,120,100,77.9208676345161,1174.01908719889,931
"2027/2028",2028,120,120,100,54.3594831066148,193.070658254204,1750
"2028/2029",2029,121,121,100,71.6931790366498,1636.40920059825,1217
"2029/2030",2030,120,120,100,70.1567197711029,1063.58104506531,1349
"2030/2031",2031,120,120,100,75.4810637030587,1011.5211120802,1104
"2031/2032",2032,120,120,100,78.0067642119548,1126.66185074323,870
"2032/2033",2033,121,121,100,61.5525815971505,387.466974637238,1633
"2033/2034",2034,120,120,100,65.3999416545676,1415.86447041109,1459
"2034/2035",2035,120,120,100,63.8108785563481,1378.00642276136,1415
"2035/2036",2036,120,120,100,71.6226843032127,898.747763715219,1192
"2036/2037",2037,121,121,100,65.2809018713897,612.561636846047,1513
"2037/2038",2038,120,120,100,70.8263475252616,1044.40505157504,1259
"2038/2039",2039,120,120,100,77.8763431091083,1222.25733114942,731
"2039/2040",2040,120,120,100,75.7722928343728,1299.70055171195,1105
"2040/2041",2041,121,121,100,74.0309007560509,1055.31043116981,1116
"2041/2042",2042,120,120,100,78.163675193191,1296.12583356933,825
"2042/2043",2043,120,120,100,65.6731532572985,528.379556874745,1628
"2043/2044",2044,120,120,100,76.4147578442044,902.578379848739,995
"2044/2045",2045,121,121,100,60.0070760940116,478.075896439143,1589
"2045/2046",2046,120,120,100,67.7276791217046,1786.34196597594,1284
"2046/2047",2047,120,120,100,69.1808390204742,848.845593991922,1331
