"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,76.1843209235347,1898.1722166832,932
"2002/2003",2003,120,120,100,68.8694140995923,594.033710550968,1342
"2003/2004",2004,120,120,100,78.8068119241827,900.628984274284,835
"2004/2005",2005,121,121,100,82.464126563734,2445.88444815439,699
"2005/2006",2006,120,120,100,75.8048566512733,1246.62944255979,956
"2006/2007",2007,120,120,100,73.8964464369301,1363.84518839407,916
"2007/2008",2008,120,120,100,61.8680160864656,431.326486268139,1375
"2008/2009",2009,121,121,100,78.4198219082441,2541.07911553315,776
"2009/2010",2010,120,120,100,77.0690317583415,1036.81467075774,870
"2010/2011",2011,120,120,100,74.6934516699628,934.159799945424,850
"2011/2012",2012,120,120,100,66.1708362698662,1436.56802844565,1403
"2012/2013",2013,121,121,100,75.8409258674171,939.903087225917,939
"2013/2014",2014,120,120,100,66.3187456523951,965.971459345543,1463
"2014/2015",2015,120,120,100,74.3616714294922,1605.15799787978,892
"2015/2016",2016,120,120,100,73.9106191350065,1334.50408530934,1122
"2016/2017",2017,121,121,100,77.1098882426868,2102.17325316579,981
"2017/2018",2018,120,120,100,65.3394198183446,1151.09141677467,1273
"2018/2019",2019,120,120,100,69.697068988457,900.035188865731,1168
"2019/2020",2020,120,120,100,80.4009432952657,2224.76048706879,690
"2020/2021",2021,121,121,100,71.9644389568298,738.22192458855,1303
"2021/2022",2022,120,120,100,68.484942741587,2535.53206644813,1206
"2022/2023",2023,120,120,100,70.6260095943358,1114.25447698799,995
"2023/2024",2024,120,120,100,82.2964891809424,2215.08595147578,572
"2024/2025",2025,121,121,100,75.9211167560788,837.99715458462,1034
"2025/2026",2026,120,120,100,57.4356126109442,849.100415478926,1752
"2026/2027",2027,120,120,100,80.4172659109872,1487.30586950341,754
"2027/2028",2028,120,120,100,59.3769160383708,371.933798977872,1559
"2028/2029",2029,121,121,100,75.9711176406827,2024.13223494287,1011
"2029/2030",2030,120,120,100,72.6541487143732,1238.33556394745,1166
"2030/2031",2031,120,120,100,77.8821051335772,1211.57264018129,917
"2031/2032",2032,120,120,100,81.7059098170321,1569.89909840515,753
"2032/2033",2033,121,121,100,66.7410149157204,516.741585361073,1435
"2033/2034",2034,120,120,100,66.3048327214528,1747.998155504,1289
"2034/2035",2035,120,120,100,69.9719711172456,1576.5339166217,1218
"2035/2036",2036,120,120,100,74.4982822375669,1137.08103470225,1001
"2036/2037",2037,121,121,100,68.0627439620766,854.354054509196,1359
"2037/2038",2038,120,120,100,73.826733523465,1420.88136836188,1018
"2038/2039",2039,120,120,100,81.349985681597,1626.47663119924,589
"2039/2040",2040,120,120,100,78.2251717613744,1577.61562336539,839
"2040/2041",2041,121,121,100,77.4264332092462,1315.42413624097,904
"2041/2042",2042,120,120,100,79.3433918931159,1830.45300050173,731
"2042/2043",2043,120,120,100,70.1072290228531,648.915170288878,1509
"2043/2044",2044,120,120,100,78.3293658139173,1268.59036483662,777
"2044/2045",2045,121,121,100,64.7552714588846,615.179208481684,1408
"2045/2046",2046,120,120,100,70.2670577555673,2151.07337045507,1142
"2046/2047",2047,120,120,100,71.9154525211243,1079.48980481178,1143
"2047/2048",2048,120,120,100,70.5821614188853,703.44060795987,1144
"2048/2049",2049,121,121,100,74.0611935944635,624.876082468312,1181
"2049/2050",2050,120,120,100,66.9872744468939,251.728736476973,1527
"2050/2051",2051,120,120,100,70.5860886067167,1804.17784161773,1222
"2051/2052",2052,120,120,100,79.4776632336216,2056.99276193511,760
"2052/2053",2053,121,121,100,76.478696332455,1498.37576983916,896
"2053/2054",2054,120,120,100,79.029903766912,1854.07157539017,817
"2054/2055",2055,120,120,100,74.2458595102235,943.662983284332,1073
"2055/2056",2056,120,120,100,67.4308184423335,2898.36828472652,1079
"2056/2057",2057,121,121,100,64.6039786020283,967.535982323345,1181
"2057/2058",2058,120,120,100,80.0267103884107,1346.34076206665,848
"2058/2059",2059,120,120,100,67.5171004624735,678.527852876112,1304
"2059/2060",2060,120,120,100,76.3193936509979,2127.39692102186,857
"2060/2061",2061,121,121,100,80.1497222245725,2597.78467100952,803
"2061/2062",2062,120,120,100,61.6931610810425,584.735533370636,1596
"2062/2063",2063,120,120,100,68.8785857673138,803.903512480203,1277
"2063/2064",2064,120,120,100,70.9196642771076,1209.49592013378,1303
"2064/2065",2065,121,121,100,75.3702775233523,1089.45000924915,968
"2065/2066",2066,120,120,100,81.5566290818042,895.885665511247,623
"2066/2067",2067,120,120,100,66.7934555048632,749.803537908476,1366
"2067/2068",2068,120,120,100,80.3018492742103,2242.30669447407,660
"2068/2069",2069,121,121,100,72.9391922059876,1143.06573387748,1170
"2069/2070",2070,120,120,100,73.1228125872694,1365.73627885384,940
"2070/2071",2071,120,120,100,71.3709206504718,1622.35624513542,1161
"2071/2072",2072,120,120,100,66.3658771546507,1084.82306066807,1242
"2072/2073",2073,121,121,100,83.220427617618,2502.53206919227,587
"2073/2074",2074,120,120,100,66.0083790802673,2489.09591162764,1184
"2074/2075",2075,120,120,100,78.5469085601198,2088.46527247876,891
"2075/2076",2076,120,120,100,83.0552414285157,1847.80505617056,612
"2076/2077",2077,121,121,100,70.7997023864336,533.328635352664,1371
