"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,70.9898429231729,1298.94032217942,1104
"2002/2003",2003,120,120,100,63.2891674317551,361.632084293611,1626
"2003/2004",2004,120,120,100,73.7432035616499,552.022416000036,1109
"2004/2005",2005,121,121,100,77.9175116523569,1684.72983513816,974
"2005/2006",2006,120,120,100,71.7723050874432,710.961706788774,1234
"2006/2007",2007,120,120,100,71.9448007590754,839.341228897771,1179
"2007/2008",2008,120,120,100,57.7864344143193,247.467687480443,1704
"2008/2009",2009,121,121,100,76.677453424772,1698.7561437079,1028
"2009/2010",2010,120,120,100,70.7216905510229,623.449044750188,1164
"2010/2011",2011,120,120,100,69.7645391384031,504.886845120403,1160
"2011/2012",2012,120,120,100,62.3692471847455,881.569753010815,1576
"2012/2013",2013,121,121,100,72.6353290736674,595.30938101944,1256
"2013/2014",2014,120,120,100,60.7798200381922,613.446190707677,1669
"2014/2015",2015,120,120,100,67.2482507492546,1130.62852728483,1189
"2015/2016",2016,120,120,100,67.8343956569138,795.421624252689,1356
"2016/2017",2017,121,121,100,69.0125259244305,1565.13638926938,1226
"2017/2018",2018,120,120,100,62.3945684782716,717.887578185298,1529
"2018/2019",2019,120,120,100,65.027136101522,610.507040430792,1473
"2019/2020",2020,120,120,100,77.3827953749014,1557.26986127475,928
"2020/2021",2021,121,121,100,65.4605072860618,409.300470200949,1641
"2021/2022",2022,120,120,100,65.2470134455502,1910.34396962414,1506
"2022/2023",2023,120,120,100,63.228543589305,578.387362366775,1305
"2023/2024",2024,120,120,100,76.4400471637764,1507.41861738055,838
"2024/2025",2025,121,121,100,71.2556449228578,515.692007681588,1313
"2025/2026",2026,120,120,100,52.1401828970029,639.346803402877,1899
"2026/2027",2027,120,120,100,75.2505837433273,1005.95104333828,1007
"2027/2028",2028,120,120,100,51.0457108078435,172.07911611395,1835
"2028/2029",2029,121,121,100,70.5516960318655,1285.75163226039,1308
"2029/2030",2030,120,120,100,69.1597180281788,896.829341423232,1419
"2030/2031",2031,120,120,100,73.4331015556318,821.867439552676,1261
"2031/2032",2032,120,120,100,78.3639392395462,950.619049971923,965
"2032/2033",2033,121,121,100,58.531423152609,291.755842756946,1708
"2033/2034",2034,120,120,100,64.3250323136599,1150.55546477623,1500
"2034/2035",2035,120,120,100,62.9298201957754,1147.08973158523,1466
"2035/2036",2036,120,120,100,69.5132272493129,747.068617671262,1238
"2036/2037",2037,121,121,100,63.592417378447,587.185742658563,1605
"2037/2038",2038,120,120,100,68.2433210915315,774.751681035617,1239
"2038/2039",2039,120,120,100,76.6336346070029,1008.23335691332,804
"2039/2040",2040,120,120,100,73.7171112879787,1126.66876854422,1196
"2040/2041",2041,121,121,100,72.3024191453287,754.576708659064,1163
"2041/2042",2042,120,120,100,75.9113381407642,1189.57362520043,867
"2042/2043",2043,120,120,100,65.3485921110214,339.482055539731,1711
"2043/2044",2044,120,120,100,74.4706503639763,687.016365623334,1056
"2044/2045",2045,121,121,100,58.0486375774744,363.58835158986,1728
"2045/2046",2046,120,120,100,67.1518820968449,1594.74298936594,1384
"2046/2047",2047,120,120,100,66.8248454873947,680.63402445754,1399
"2047/2048",2048,120,120,100,65.7953873546776,322.648018967127,1427
"2048/2049",2049,121,121,100,67.5351199233155,423.258300871588,1593
"2049/2050",2050,120,120,100,59.0235477451752,120.272189535201,1863
"2050/2051",2051,120,120,100,65.3637737258232,1331.00944512244,1488
"2051/2052",2052,120,120,100,73.4771694145838,1527.06865927204,992
"2052/2053",2053,121,121,100,71.5546381653567,1086.40959699638,1116
"2053/2054",2054,120,120,100,74.3583389509586,1037.94210498687,1056
"2054/2055",2055,120,120,100,69.4426302209322,552.27708829334,1300
"2055/2056",2056,120,120,100,63.6918177952393,2389.90728771826,1427
"2056/2057",2057,121,121,100,61.0871610493741,661.079696995206,1471
"2057/2058",2058,120,120,100,74.5442721596064,734.020599378273,1118
"2058/2059",2059,120,120,100,62.9775692066105,377.049191817176,1617
"2059/2060",2060,120,120,100,73.5288445247115,1334.58119888371,1042
"2060/2061",2061,121,121,100,77.0958731557548,1773.61678819591,976
"2061/2062",2062,120,120,100,53.5901290617239,328.701891869307,1867
"2062/2063",2063,120,120,100,61.6279621180511,552.495748735964,1637
"2063/2064",2064,120,120,100,66.9472557730824,625.014254332986,1486
"2064/2065",2065,121,121,100,69.446148965033,666.744415520225,1300
"2065/2066",2066,120,120,100,76.1649035146675,498.166893349495,983
"2066/2067",2067,120,120,100,60.1753742876426,456.893415164668,1627
"2067/2068",2068,120,120,100,76.0889463174699,1448.58633672399,867
"2068/2069",2069,121,121,100,69.062607733038,669.015937032644,1418
"2069/2070",2070,120,120,100,69.7024399155598,781.668304910418,1145
