"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,75.8884820773972,2057.1214300329,906
"2002/2003",2003,120,120,100,69.189995744852,682.242531790369,1342
"2003/2004",2004,120,120,100,78.7727416107773,982.542124031199,795
"2004/2005",2005,121,121,100,82.4041741493655,2438.66011530848,665
"2005/2006",2006,120,120,100,76.7283077620235,1218.20277200546,938
"2006/2007",2007,120,120,100,76.4639482659234,1415.23582263646,855
"2007/2008",2008,120,120,100,63.3225937738257,518.498119729833,1338
"2008/2009",2009,121,121,100,79.1504086352181,2468.25130832574,772
"2009/2010",2010,120,120,100,78.3476523646561,1011.55757800041,807
"2010/2011",2011,120,120,100,75.6413997992283,892.782299665967,834
"2011/2012",2012,120,120,100,65.8764467452061,1424.19347207405,1370
"2012/2013",2013,121,121,100,76.8604624515474,971.240245439054,928
"2013/2014",2014,120,120,100,64.5079637964755,1000.86139658204,1443
"2014/2015",2015,120,120,100,74.0253523768529,1689.81998634856,915
"2015/2016",2016,120,120,100,74.5904533772391,1237.1007187065,1068
"2016/2017",2017,121,121,100,75.0996862171996,2267.76053445658,982
"2017/2018",2018,120,120,100,67.5749883335261,1175.22342377808,1230
"2018/2019",2019,120,120,100,71.1427173449756,959.372879650909,1116
"2019/2020",2020,120,120,100,81.4318692254678,2246.63652588986,660
"2020/2021",2021,121,121,100,73.0724532208451,718.980799190933,1268
"2021/2022",2022,120,120,100,69.6231275390719,2520.74708744208,1164
"2022/2023",2023,120,120,100,71.794485151514,1043.89763016847,987
"2023/2024",2024,120,120,100,81.7909593915074,2390.23792206286,563
"2024/2025",2025,121,121,100,75.8062021708138,972.634261323372,1025
"2025/2026",2026,120,120,100,56.0492093087796,965.18425682059,1679
"2026/2027",2027,120,120,100,82.4152789452719,1570.69288432633,719
"2027/2028",2028,120,120,100,63.3982876197397,289.719698890927,1556
"2028/2029",2029,121,121,100,76.8181727756892,1933.48222438688,955
"2029/2030",2030,120,120,100,73.9248974836482,1444.1357682927,1154
"2030/2031",2031,120,120,100,77.7816614022395,1413.20595526905,913
"2031/2032",2032,120,120,100,81.8196064337362,1540.49155013659,680
"2032/2033",2033,121,121,100,67.5538467794813,527.489975414472,1417
"2033/2034",2034,120,120,100,67.8655668459078,1666.49355874676,1225
"2034/2035",2035,120,120,100,67.8110517336863,1675.0235516245,1213
"2035/2036",2036,120,120,100,75.1890523443344,1250.17537340662,1011
"2036/2037",2037,121,121,100,70.1103877680389,817.569053303218,1291
"2037/2038",2038,120,120,100,75.1467956767956,1297.65865544556,986
"2038/2039",2039,120,120,100,82.8317045053282,1818.17782105738,570
"2039/2040",2040,120,120,100,78.8890098781994,1628.52763763,802
"2040/2041",2041,121,121,100,78.5947058287747,1368.42352145934,865
"2041/2042",2042,120,120,100,81.3449818917106,1781.13851167145,668
"2042/2043",2043,120,120,100,68.7289617481101,634.433810900897,1446
"2043/2044",2044,120,120,100,80.6365036981251,1138.90946258907,716
"2044/2045",2045,121,121,100,66.1650224527293,599.252538735513,1399
"2045/2046",2046,120,120,100,72.3629649596623,2126.5753702682,1089
"2046/2047",2047,120,120,100,71.5684379296654,1063.88731127256,1143
"2047/2048",2048,120,120,100,72.8255644293422,606.15107746562,1133
"2048/2049",2049,121,121,100,72.7030829227078,709.128577877767,1206
"2049/2050",2050,120,120,100,68.2960480476977,246.808439008659,1493
"2050/2051",2051,120,120,100,71.6406333176274,1952.86833165307,1180
"2051/2052",2052,120,120,100,77.6985012621699,2255.95161737828,754
"2052/2053",2053,121,121,100,76.9519643876865,1714.91994120157,817
"2053/2054",2054,120,120,100,78.6682991199687,1674.59607642656,755
"2054/2055",2055,120,120,100,74.3732709772667,931.692709082505,939
"2055/2056",2056,120,120,100,68.2837680111097,2976.87424030388,1076
"2056/2057",2057,121,121,100,64.8842101490591,1142.15599459177,1194
