"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,76.5895402517082,1946.72366111038,901
"2002/2003",2003,120,120,100,70.5772880807748,690.727651664478,1321
"2003/2004",2004,120,120,100,79.8712479104793,969.886137553171,784
"2004/2005",2005,121,121,100,82.5696184877929,2481.99555717938,666
"2005/2006",2006,120,120,100,76.7493823861829,1264.44102487358,952
"2006/2007",2007,120,120,100,74.4094472411725,1386.80899758998,875
"2007/2008",2008,120,120,100,62.8888093446092,478.823162416695,1336
"2008/2009",2009,121,121,100,79.0907356634866,2563.36483903159,778
"2009/2010",2010,120,120,100,77.5396762706148,1045.95539929165,821
"2010/2011",2011,120,120,100,74.2844908725276,945.557067635295,823
"2011/2012",2012,120,120,100,66.9672414885729,1460.12132306956,1367
"2012/2013",2013,121,121,100,79.1638765722155,954.52013554686,901
"2013/2014",2014,120,120,100,65.3637721677446,921.999120793887,1434
"2014/2015",2015,120,120,100,75.6867315441345,1571.11210409738,868
"2015/2016",2016,120,120,100,75.5461602140485,1272.65524971602,1085
"2016/2017",2017,121,121,100,77.9318489470529,2144.04625711683,970
"2017/2018",2018,120,120,100,68.1552623006978,1133.96936911484,1212
"2018/2019",2019,120,120,100,72.3232048829927,893.553058712743,1104
"2019/2020",2020,120,120,100,81.6839160553318,2242.83798543236,678
"2020/2021",2021,121,121,100,73.5276353527361,764.183582836413,1249
"2021/2022",2022,120,120,100,71.1884740759447,2411.04979173932,1156
"2022/2023",2023,120,120,100,72.8193518959356,1113.90010333969,975
"2023/2024",2024,120,120,100,82.8831830835925,2321.50648745254,536
"2024/2025",2025,121,121,100,76.708299927217,965.340541993384,1016
"2025/2026",2026,120,120,100,57.9589763411304,878.869057192467,1725
"2026/2027",2027,120,120,100,81.6952153042439,1560.07957298798,695
"2027/2028",2028,120,120,100,63.3588758038659,357.020594109548,1558
"2028/2029",2029,121,121,100,77.1155117670232,1946.16909746174,958
"2029/2030",2030,120,120,100,72.8915168789426,1352.47491449188,1140
"2030/2031",2031,120,120,100,78.9558952538728,1348.13482604641,892
"2031/2032",2032,120,120,100,82.5312740149111,1562.71959327604,709
"2032/2033",2033,121,121,100,69.6154268062228,535.006842895877,1411
"2033/2034",2034,120,120,100,67.8841685098241,1665.02319858898,1241
"2034/2035",2035,120,120,100,70.9890490732378,1569.13244547648,1196
"2035/2036",2036,120,120,100,76.5308601770948,1163.09952322626,984
"2036/2037",2037,121,121,100,69.7263079266249,802.385676791891,1326
"2037/2038",2038,120,120,100,75.8560549149533,1375.79743536073,983
"2038/2039",2039,120,120,100,82.5225943576579,1772.22123158886,557
"2039/2040",2040,120,120,100,79.3323063021744,1520.69003552035,772
"2040/2041",2041,121,121,100,78.5484361467916,1394.32980393618,878
"2041/2042",2042,120,120,100,80.9678645541599,1757.18479145877,681
"2042/2043",2043,120,120,100,69.8804436865566,684.339220849331,1461
"2043/2044",2044,120,120,100,79.8624793224899,1240.63960947515,707
"2044/2045",2045,121,121,100,66.8163878652285,558.640012348304,1361
"2045/2046",2046,120,120,100,73.1561411588718,2033.03416606458,1084
"2046/2047",2047,120,120,100,72.2353025514385,1040.97177432361,1117
"2047/2048",2048,120,120,100,71.46435013881,672.922745910706,1130
"2048/2049",2049,121,121,100,73.49816161544,651.627160155447,1171
"2049/2050",2050,120,120,100,68.628672302164,241.638943699189,1499
"2050/2051",2051,120,120,100,72.7636539164614,1773.08338493109,1179
"2051/2052",2052,120,120,100,79.8109628700804,2106.47429898707,744
"2052/2053",2053,121,121,100,78.0577516536596,1643.72162261838,824
"2053/2054",2054,120,120,100,78.1535122614423,1838.58076158166,778
"2054/2055",2055,120,120,100,75.3469798437709,905.602647529449,963
"2055/2056",2056,120,120,100,70.3538862265796,2792.11615070328,1029
"2056/2057",2057,121,121,100,65.2197988823755,1077.10437578429,1174
"2057/2058",2058,120,120,100,79.8602437574464,1291.73615085101,776
"2058/2059",2059,120,120,100,68.9887169459489,668.289355139248,1232
"2059/2060",2060,120,120,100,77.7298954395646,2020.94362454629,832
"2060/2061",2061,121,121,100,82.107900115232,2519.02810963942,762
"2061/2062",2062,120,120,100,62.5026041933706,580.566933067515,1595
"2062/2063",2063,120,120,100,68.0212138437018,957.834886405617,1236
"2063/2064",2064,120,120,100,70.4022345476023,1209.71693358431,1258
"2064/2065",2065,121,121,100,75.2631195670892,1157.20453889482,922
"2065/2066",2066,120,120,100,81.4369329589572,923.190680399071,572
"2066/2067",2067,120,120,100,66.9772917167211,689.069841017015,1362
"2067/2068",2068,120,120,100,82.8094656255544,2271.93894571718,622
"2068/2069",2069,121,121,100,74.2387651676036,1099.68799358374,1131
"2069/2070",2070,120,120,100,73.8256594777486,1313.95408632327,889
"2070/2071",2071,120,120,100,71.6939058191183,1695.05663072737,1098
"2071/2072",2072,120,120,100,67.6174133317309,1160.54382641707,1230
"2072/2073",2073,121,121,100,84.3872855807949,2541.81784491474,543
