"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,76.8340535547609,2070.72742935558,871
"2002/2003",2003,120,120,100,70.2914221032361,705.298813584304,1302
"2003/2004",2004,120,120,100,80.0103727567439,1140.626823624,775
"2004/2005",2005,121,121,100,83.0366373118244,2825.20031819807,656
"2005/2006",2006,120,120,100,76.3470592622328,1348.02796808202,876
"2006/2007",2007,120,120,100,75.4393127858141,1578.97950160521,850
"2007/2008",2008,120,120,100,64.3564431155585,530.082051069592,1255
"2008/2009",2009,121,121,100,79.9110069160379,2827.07913803053,736
"2009/2010",2010,120,120,100,78.242141579294,1207.05164934421,792
"2010/2011",2011,120,120,100,75.0462052939572,1104.33640281024,749
"2011/2012",2012,120,120,100,67.5781722082395,1520.58197660366,1342
"2012/2013",2013,121,121,100,79.9938065355823,1086.10074225062,870
"2013/2014",2014,120,120,100,67.0566110121076,1040.2535465993,1404
"2014/2015",2015,120,120,100,77.45820072681,1755.94918605185,854
"2015/2016",2016,120,120,100,75.6075203092942,1436.43974170403,1040
"2016/2017",2017,121,121,100,77.2700074000795,2323.69994820911,945
"2017/2018",2018,120,120,100,68.0380810020815,1244.40125288407,1205
"2018/2019",2019,120,120,100,73.4118418273306,1028.8823021428,1089
"2019/2020",2020,120,120,100,81.6675610832276,2525.72379069263,648
"2020/2021",2021,121,121,100,73.0126854740647,850.316722921329,1246
"2021/2022",2022,120,120,100,72.611444462957,2610.92574481992,1065
"2022/2023",2023,120,120,100,74.6650043895029,1180.30370520079,893
"2023/2024",2024,120,120,100,82.5228815243381,2527.84677803668,523
"2024/2025",2025,121,121,100,77.568135272084,1086.88930712501,1000
"2025/2026",2026,120,120,100,58.5791377240957,1034.49061991996,1688
"2026/2027",2027,120,120,100,82.2914224007254,1684.22897560196,676
"2027/2028",2028,120,120,100,62.9273744907732,431.936719632708,1503
"2028/2029",2029,121,121,100,78.9844179211041,2116.62068623397,936
"2029/2030",2030,120,120,100,74.057769375916,1420.26586164115,1108
"2030/2031",2031,120,120,100,80.9162874312024,1415.45033735107,851
"2031/2032",2032,120,120,100,82.2606214593598,1778.2617263149,692
"2032/2033",2033,121,121,100,69.8051262926792,590.600112060318,1368
"2033/2034",2034,120,120,100,68.5499887762926,1823.93477497762,1203
"2034/2035",2035,120,120,100,71.7946094561976,1667.46601946745,1160
"2035/2036",2036,120,120,100,75.7196246063986,1307.05147327925,973
"2036/2037",2037,121,121,100,71.2608805522996,958.600162166171,1271
"2037/2038",2038,120,120,100,75.9169883478326,1501.05358552956,948
"2038/2039",2039,120,120,100,83.1512471014303,1925.30858777021,535
"2039/2040",2040,120,120,100,81.1823399802915,1693.65774173499,740
"2040/2041",2041,121,121,100,78.873077381797,1455.49880024837,820
"2041/2042",2042,120,120,100,81.1718963292024,2033.45982968924,672
"2042/2043",2043,120,120,100,71.0153147163119,690.856330603361,1428
"2043/2044",2044,120,120,100,80.788474438993,1384.49257305427,708
"2044/2045",2045,121,121,100,68.3182717041072,640.570470438106,1318
"2045/2046",2046,120,120,100,73.423684388833,2259.45992987393,1077
"2046/2047",2047,120,120,100,72.4699834731528,1148.91670946567,1096
"2047/2048",2048,120,120,100,73.4230144225639,732.94848462916,1081
"2048/2049",2049,121,121,100,75.4548684636065,705.003973265644,1116
"2049/2050",2050,120,120,100,69.6173946492945,292.282081960002,1452
"2050/2051",2051,120,120,100,71.7981601646552,1976.42511983495,1120
"2051/2052",2052,120,120,100,80.5136376383234,2316.4181954111,721
"2052/2053",2053,121,121,100,77.8363216918315,1715.29611800285,789
"2053/2054",2054,120,120,100,79.3490385101304,1955.90284665208,748
"2054/2055",2055,120,120,100,76.1390233448128,1009.89864623966,952
"2055/2056",2056,120,120,100,70.8277597222714,3036.43460019445,987
"2056/2057",2057,121,121,100,65.4378539518657,1231.22120038839,1144
"2057/2058",2058,120,120,100,81.3479302399701,1424.87606384419,725
"2058/2059",2059,120,120,100,69.3000058526832,741.844073851593,1203
"2059/2060",2060,120,120,100,77.5433803828018,2230.98398576071,809
"2060/2061",2061,121,121,100,81.8258475298426,2804.02194569958,758
"2061/2062",2062,120,120,100,63.7062296661807,650.646726752166,1548
"2062/2063",2063,120,120,100,69.4067467039331,935.515150733758,1194
"2063/2064",2064,120,120,100,72.6636314266543,1289.29587375978,1187
"2064/2065",2065,121,121,100,76.0684045986891,1339.03491432872,898
"2065/2066",2066,120,120,100,82.5888628119283,1021.74136554636,519
"2066/2067",2067,120,120,100,69.5064827155056,835.451375274919,1303
"2067/2068",2068,120,120,100,81.1198516544118,2600.52328443201,629
"2068/2069",2069,121,121,100,74.8249587232658,1260.20070304256,1096
"2069/2070",2070,120,120,100,74.7214762539024,1499.03767089033,842
"2070/2071",2071,120,120,100,73.1107832166017,1831.64668234158,1060
"2071/2072",2072,120,120,100,68.7385811153035,1155.35953785526,1190
"2072/2073",2073,121,121,100,83.9557228504873,2849.48866741778,551
"2073/2074",2074,120,120,100,67.6979723020213,2610.66653373279,1110
"2074/2075",2075,120,120,100,79.4480586807076,2378.64894261397,849
"2075/2076",2076,120,120,100,83.9498329146863,2080.67583753215,564
"2076/2077",2077,121,121,100,72.317393811938,613.181736650877,1285
"2077/2078",2078,120,120,100,68.8831502912399,642.43287053192,1324
"2078/2079",2079,120,120,100,75.0471824316919,932.374730513431,926
"2079/2080",2080,120,120,100,78.9984563692487,1788.74221000448,796
"2080/2081",2081,121,121,100,69.5948338258822,1633.89095645258,1090
"2081/2082",2082,120,120,100,78.3388233875776,1975.26459740754,746
"2082/2083",2083,120,120,100,76.227156507819,1882.41643845895,869
"2083/2084",2084,120,120,100,76.2790627207887,1073.23181020096,1103
"2084/2085",2085,121,121,100,68.4829736595257,1132.79944439838,1000
"2085/2086",2086,120,120,100,72.6034149426669,1441.20533161238,988
"2086/2087",2087,120,120,100,74.4644667573739,1147.52800793154,1149
"2087/2088",2088,120,120,100,69.8916653878714,1373.26055729995,1172
"2088/2089",2089,121,121,100,77.258300207819,1305.66724433377,965
"2089/2090",2090,120,120,100,72.9514046010445,750.866974472068,1138
"2090/2091",2091,120,120,100,69.0577935557703,1056.87549239025,1307
"2091/2092",2092,120,120,100,71.2562884715626,629.566052728333,1259
"2092/2093",2093,121,121,100,78.2352574814795,1711.27921955334,864
"2093/2094",2094,120,120,100,69.4479860117099,1735.16880828841,1223
"2094/2095",2095,120,120,100,77.927235991112,883.749650098849,939
"2095/2096",2096,120,120,100,80.3737553721294,2287.35694846557,642
"2096/2097",2097,121,121,100,73.1535118653774,3995.10824904125,1027
"2097/2098",2098,120,120,100,69.7897127956712,1536.79034667229,1198
"2098/2099",2099,120,120,100,77.9782595713586,1214.08848979697,857
"2099/2100",2100,120,120,100,75.6846035495328,1603.04542711377,767
"2100/2101",2101,120,120,100,76.5054148001509,1385.10002658935,990
