"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,78.865157858519,3335.31704593576,753
"2002/2003",2003,120,120,100,74.1906338311514,1056.36122776079,1082
"2003/2004",2004,120,120,100,83.5766807037472,1733.50819627516,564
"2004/2005",2005,121,121,100,85.5666544954374,3723.69544848258,487
"2005/2006",2006,120,120,100,80.9797379840413,2194.90068966386,717
"2006/2007",2007,120,120,100,79.0828220985649,2506.76813608716,676
"2007/2008",2008,120,120,100,69.1154947900172,916.140029896516,1033
"2008/2009",2009,121,121,100,81.234535551341,3770.27015302848,556
"2009/2010",2010,120,120,100,81.8840974866248,1781.7878840898,530
"2010/2011",2011,120,120,100,78.5813442512999,1721.96927658387,585
"2011/2012",2012,120,120,100,71.2835327466439,2244.93341262196,1166
"2012/2013",2013,121,121,100,80.7084565257896,1772.79156166257,663
"2013/2014",2014,120,120,100,70.0539926752886,1924.58110838989,1281
"2014/2015",2015,120,120,100,79.1744199797599,2785.17421487975,689
"2015/2016",2016,120,120,100,78.3939884910792,2289.49537787808,851
"2016/2017",2017,121,121,100,79.2799051397315,3427.12685579737,758
"2017/2018",2018,120,120,100,72.2172136345694,2040.19373303966,1001
"2018/2019",2019,120,120,100,77.2791424686948,1758.54663800634,873
"2019/2020",2020,120,120,100,82.7764896688664,3569.55539212073,533
"2020/2021",2021,121,121,100,77.8643223538966,1348.39439191273,1000
"2021/2022",2022,120,120,100,69.0061062942086,3872.29223158304,913
"2022/2023",2023,120,120,100,79.0764165795458,1960.62209378276,695
"2023/2024",2024,120,120,100,84.7097349494388,3662.46505384101,373
"2024/2025",2025,121,121,100,82.1089823978405,1541.23250529985,700
"2025/2026",2026,120,120,100,61.7984603255854,1519.95983890654,1506
"2026/2027",2027,120,120,100,86.4008169606332,2615.76421384956,495
"2027/2028",2028,120,120,100,70.2277036662053,640.642987914383,1248
"2028/2029",2029,121,121,100,80.3127876893795,3212.80084211053,724
"2029/2030",2030,120,120,100,78.1288897741561,2262.36385977548,952
"2030/2031",2031,120,120,100,82.4048795171666,2157.14395257505,651
"2031/2032",2032,120,120,100,86.0622012828171,2782.54022365971,514
"2032/2033",2033,121,121,100,73.0884403683494,1015.44103492727,1148
"2033/2034",2034,120,120,100,70.6524536030192,2754.0160858857,1036
"2034/2035",2035,120,120,100,73.0968251761888,2679.91981381411,995
"2035/2036",2036,120,120,100,78.9011206676314,2187.13608743786,821
"2036/2037",2037,121,121,100,74.4395179526255,1532.08108566771,1109
"2037/2038",2038,120,120,100,80.5035897311627,2379.2667904899,744
"2038/2039",2039,120,120,100,88.3071693721895,2979.40895323083,413
"2039/2040",2040,120,120,100,81.7096823288957,2774.20554869948,546
"2040/2041",2041,121,121,100,83.3472908536532,2258.03728524549,555
"2041/2042",2042,120,120,100,82.9305572749636,3152.11319698766,560
"2042/2043",2043,120,120,100,74.0390014039922,1143.66101577505,1192
"2043/2044",2044,120,120,100,83.1812980916011,2162.58884527255,491
"2044/2045",2045,121,121,100,73.5831276615436,1197.35060644336,1090
"2045/2046",2046,120,120,100,73.7004723193768,3387.37506097602,936
"2046/2047",2047,120,120,100,76.3056695666828,1957.25317555852,900
"2047/2048",2048,120,120,100,78.3376674864739,1327.02375431079,882
"2048/2049",2049,121,121,100,76.7715823458875,1286.03869448928,955
"2049/2050",2050,120,120,100,75.2021313420855,592.828039017972,1136
"2050/2051",2051,120,120,100,74.5161817394701,3135.92949723452,870
"2051/2052",2052,120,120,100,78.5428991844174,3513.81764450576,609
"2052/2053",2053,121,121,100,81.9809920780863,2585.2711772467,611
"2053/2054",2054,120,120,100,82.1530955753369,2949.43956132839,591
"2054/2055",2055,120,120,100,79.1257866676406,1852.15691085765,762
"2055/2056",2056,120,120,100,71.7120088565334,4305.04312917171,815
"2056/2057",2057,121,121,100,68.8081049868924,1772.67455415521,1008
"2057/2058",2058,120,120,100,83.9253612092707,2250.35570549965,524
"2058/2059",2059,120,120,100,72.8241735679221,1349.65498422273,989
"2059/2060",2060,120,120,100,79.1606112363352,3447.26529279118,687
"2060/2061",2061,121,121,100,80.3991516857277,4125.94053748809,579
"2061/2062",2062,120,120,100,67.1661224059844,980.167445745785,1277
"2062/2063",2063,120,120,100,75.345690953427,1378.59060391271,921
"2063/2064",2064,120,120,100,76.7587776260079,1836.40580115374,1016
"2064/2065",2065,121,121,100,80.9510148897552,1874.44664157648,658
"2065/2066",2066,120,120,100,85.7358778410489,1717.46366328141,368
"2066/2067",2067,120,120,100,72.6621592358897,1344.29926739866,1082
"2067/2068",2068,120,120,100,85.5924917292141,3681.20897782128,515
"2068/2069",2069,121,121,100,77.9702702984814,2044.36607484473,840
"2069/2070",2070,120,120,100,76.6475987619488,2308.14695669012,735
"2070/2071",2071,120,120,100,74.7372449602553,2823.39343463257,880
"2071/2072",2072,120,120,100,72.4674661976114,1777.79451266071,980
"2072/2073",2073,121,121,100,85.2283807819167,4125.59816208575,453
"2073/2074",2074,120,120,100,68.036728433497,3853.55006063916,969
"2074/2075",2075,120,120,100,81.2114625816794,3545.00855389796,703
"2075/2076",2076,120,120,100,86.1389989383733,3096.17927941168,405
"2076/2077",2077,121,121,100,76.079455722971,977.582750980742,1013
"2077/2078",2078,120,120,100,73.2966661628161,1049.85961644258,1059
"2078/2079",2079,120,120,100,77.5443628411977,1488.24682050664,720
"2079/2080",2080,120,120,100,81.1496452143492,2425.04266826063,581
"2080/2081",2081,121,121,100,72.8206583523097,2650.04389465321,1001
"2081/2082",2082,120,120,100,80.0900609209548,3003.70777911413,604
"2082/2083",2083,120,120,100,76.681089632908,2906.1579878768,704
"2083/2084",2084,120,120,100,79.0087180010942,1536.60106506851,816
"2084/2085",2085,121,121,100,74.7897154269067,1900.99450748507,837
"2085/2086",2086,120,120,100,78.7992786979339,2288.82421618141,839
"2086/2087",2087,120,120,100,76.6424268090923,1838.63270250149,957
"2087/2088",2088,120,120,100,72.7252562022004,2190.59345287364,1006
"2088/2089",2089,121,121,100,79.0829236252612,2113.83898305614,763
"2089/2090",2090,120,120,100,77.258831820378,1178.85724961665,879
"2090/2091",2091,120,120,100,72.6877531331666,1809.47883134428,1159
"2091/2092",2092,120,120,100,76.4893472676686,1052.14284495544,958
"2092/2093",2093,121,121,100,80.1995326996603,2751.50951654464,718
"2093/2094",2094,120,120,100,73.8541066515281,2812.59944102634,1119
"2094/2095",2095,120,120,100,81.7579294719544,1389.44434373546,680
"2095/2096",2096,120,120,100,81.5234256248332,3557.87835561112,473
"2096/2097",2097,121,121,100,69.7608386047632,5541.44378224202,851
"2097/2098",2098,120,120,100,73.1797215042261,2412.39835674968,1047
"2098/2099",2099,120,120,100,80.7910656981276,1939.0237827599,685
"2099/2100",2100,120,120,100,79.401062829691,2513.79602215439,581
"2100/2101",2101,120,120,100,80.6143824952705,2183.58731392398,810
