"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,78.3660029027005,3056.05761317052,723
"2002/2003",2003,120,120,100,74.0388048118982,1078.48136101311,1079
"2003/2004",2004,120,120,100,83.9946902689559,1692.48845779657,577
"2004/2005",2005,121,121,100,85.7396631231729,3866.87070459832,503
"2005/2006",2006,120,120,100,80.1222039979602,2175.18055741553,716
"2006/2007",2007,120,120,100,80.0282251358644,2372.33097947942,674
"2007/2008",2008,120,120,100,69.1723172877341,864.214587350725,1029
"2008/2009",2009,121,121,100,79.6431054334,3925.69310259348,595
"2009/2010",2010,120,120,100,80.9527146507317,1876.79870043264,562
"2010/2011",2011,120,120,100,78.0023726019658,1750.86409158062,590
"2011/2012",2012,120,120,100,71.0025166315259,2233.18638218776,1159
"2012/2013",2013,121,121,100,82.2725881343908,1708.85206326703,657
"2013/2014",2014,120,120,100,71.2335269691876,1666.70493778307,1246
"2014/2015",2015,120,120,100,79.7368100847571,2549.69312993903,670
"2015/2016",2016,120,120,100,78.2578884131231,2230.1977711498,866
"2016/2017",2017,121,121,100,79.8761963351039,3178.68115217891,711
"2017/2018",2018,120,120,100,72.2992688222143,1897.17877383681,1005
"2018/2019",2019,120,120,100,78.0510027830628,1596.02102934453,868
"2019/2020",2020,120,120,100,84.2165437769472,3542.88450160052,531
"2020/2021",2021,121,121,100,77.1547677694402,1339.49549993034,1003
"2021/2022",2022,120,120,100,71.4417389487448,3555.38251290657,883
"2022/2023",2023,120,120,100,79.3029289966562,1918.2477166974,676
"2023/2024",2024,120,120,100,85.6649342949527,3515.62689809361,357
"2024/2025",2025,121,121,100,82.0906249765494,1564.29286095127,726
"2025/2026",2026,120,120,100,61.6720583562073,1398.84386158176,1522
"2026/2027",2027,120,120,100,85.3318485587924,2535.07671909453,507
"2027/2028",2028,120,120,100,70.1973984768774,737.172911911504,1262
"2028/2029",2029,121,121,100,79.7258612299129,3118.40063947835,728
"2029/2030",2030,120,120,100,77.5688545589383,2071.03515791101,936
"2030/2031",2031,120,120,100,82.3536012677459,2056.74661496095,656
"2031/2032",2032,120,120,100,85.4961324707865,2736.04530613683,531
"2032/2033",2033,121,121,100,73.7062799267742,1010.45915652462,1158
"2033/2034",2034,120,120,100,70.8193968856485,2616.0229039453,994
"2034/2035",2035,120,120,100,75.4794528759285,2431.23042058921,965
"2035/2036",2036,120,120,100,79.08292141941,2010.2056530281,788
"2036/2037",2037,121,121,100,74.3597929306543,1468.70823996398,1116
