"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,68.7509864062936,1560.87101997405,1294
"2002/2003",2003,120,120,100,61.9405638142348,411.670556233992,1805
"2003/2004",2004,120,120,100,73.149068013535,547.14977890678,1370
"2004/2005",2005,121,121,100,74.5463669694334,1455.42796728699,1153
"2005/2006",2006,120,120,100,70.7137248896685,832.095684116415,1475
"2006/2007",2007,120,120,100,70.210664883779,992.402816443529,1467
"2007/2008",2008,120,120,100,55.9615341814956,358.581844814704,1904
"2008/2009",2009,121,121,100,72.8744611725697,1698.16659554717,1227
"2009/2010",2010,120,120,100,69.5426462753928,657.907826294191,1411
"2010/2011",2011,120,120,100,67.7265480423007,512.560852146999,1390
"2011/2012",2012,120,120,100,62.2635114795667,1069.18033172761,1695
"2012/2013",2013,121,121,100,69.8308072181769,749.27507736953,1522
"2013/2014",2014,120,120,100,59.2175676686613,826.505044616759,1825
"2014/2015",2015,120,120,100,65.9852959416498,1412.46593395097,1462
"2015/2016",2016,120,120,100,65.1634150272989,892.284729014849,1623
"2016/2017",2017,121,121,100,69.04968961434,1754.54243552196,1434
"2017/2018",2018,120,120,100,59.9250789499374,915.391788839363,1700
"2018/2019",2019,120,120,100,64.0786517697611,701.525665617082,1639
"2019/2020",2020,120,120,100,76.212933680757,1564.64527953195,1194
"2020/2021",2021,121,121,100,63.4487501008402,489.394121942809,1785
"2021/2022",2022,120,120,100,59.9261565565866,2293.23616029054,1685
"2022/2023",2023,120,120,100,59.2686004572988,771.622655943152,1512
"2023/2024",2024,120,120,100,73.1565138704468,1650.30786352966,1138
"2024/2025",2025,121,121,100,70.287239815566,419.055639389437,1564
"2025/2026",2026,120,120,100,48.2024118136619,683.849397174083,2063
"2026/2027",2027,120,120,100,74.7448485997993,1054.36065838602,1258
"2027/2028",2028,120,120,100,48.789746481636,147.490751225268,1992
"2028/2029",2029,121,121,100,68.6884231808208,1614.00468519563,1525
"2029/2030",2030,120,120,100,68.7358694900504,1017.4613319966,1627
"2030/2031",2031,120,120,100,72.6452234324324,946.225664751837,1483
"2031/2032",2032,120,120,100,75.6606773357653,1112.04185464,1240
"2032/2033",2033,121,121,100,58.3055573553665,370.340722998837,1872
"2033/2034",2034,120,120,100,62.4264246069388,1420.18104270636,1705
"2034/2035",2035,120,120,100,60.485884785423,1381.47564536054,1659
"2035/2036",2036,120,120,100,68.0684453773301,913.903825043002,1449
"2036/2037",2037,121,121,100,61.8181835870373,686.258793587564,1821
"2037/2038",2038,120,120,100,65.1879058753821,920.080348756164,1515
"2038/2039",2039,120,120,100,75.0250132208066,1088.06277254736,1058
"2039/2040",2040,120,120,100,69.8134695170793,1420.63690689439,1473
"2040/2041",2041,121,121,100,69.5863868798251,936.866365699098,1435
"2041/2042",2042,120,120,100,72.4033603057705,1259.95003804518,1076
"2042/2043",2043,120,120,100,61.8021214458204,502.242084488273,1831
"2043/2044",2044,120,120,100,71.6202593968628,809.952083653305,1319
"2044/2045",2045,121,121,100,55.8053043051223,562.442025688011,1879
"2045/2046",2046,120,120,100,63.1590994645139,1940.40020271507,1600
"2046/2047",2047,120,120,100,65.7179759257042,907.651582675055,1622
"2047/2048",2048,120,120,100,60.547994350537,499.210477273911,1674
"2048/2049",2049,121,121,100,66.1551838321575,575.343915954698,1788
"2049/2050",2050,120,120,100,58.1222444093337,199.100454044063,2009
"2050/2051",2051,120,120,100,62.5402917835618,1648.89806366526,1642
"2051/2052",2052,120,120,100,71.8315468765531,1707.9044460007,1282
"2052/2053",2053,121,121,100,69.350384834368,1074.30380306672,1398
"2053/2054",2054,120,120,100,71.7095324325801,1197.74001901736,1305
"2054/2055",2055,120,120,100,67.177623547208,792.241893311962,1554
"2055/2056",2056,120,120,100,61.6152131750878,2699.43778847391,1643
"2056/2057",2057,121,121,100,60.4380429767298,660.37498875754,1669
"2057/2058",2058,120,120,100,69.7203006732143,909.549890134949,1404
"2058/2059",2059,120,120,100,62.0467551231122,557.285407910123,1803
"2059/2060",2060,120,120,100,68.779459221596,1631.64951503091,1317
"2060/2061",2061,121,121,100,74.6771107166769,2016.94574138755,1249
"2061/2062",2062,120,120,100,56.0338658892924,385.175186621957,2047
"2062/2063",2063,120,120,100,59.1066767034627,643.355698546395,1841
"2063/2064",2064,120,120,100,66.4693942500126,641.679888751358,1708
"2064/2065",2065,121,121,100,67.9191137402613,624.083602302242,1536
"2065/2066",2066,120,120,100,73.6504520196031,648.021513253916,1303
"2066/2067",2067,120,120,100,60.6178517178942,550.953263288829,1856
"2067/2068",2068,120,120,100,74.6692678197232,1388.3370369412,1056
"2068/2069",2069,121,121,100,67.6344195634283,810.752411234658,1614
"2069/2070",2070,120,120,100,68.5294590479807,972.441380035132,1408
"2070/2071",2071,120,120,100,65.4201200207026,1394.6001205598,1557
"2071/2072",2072,120,120,100,63.5813320126126,670.501779536251,1615
"2072/2073",2073,121,121,100,77.6572972458616,1843.60192989744,1022
"2073/2074",2074,120,120,100,60.9235382528568,2238.98710915772,1628
"2074/2075",2075,120,120,100,70.9744642672777,1695.79942245828,1299
"2075/2076",2076,120,120,100,76.4859088956218,1268.99478870863,1107
"2076/2077",2077,121,121,100,64.5691563147248,386.106030182913,1872
"2077/2078",2078,120,120,100,58.3478917770917,369.94466141751,1877
"2078/2079",2079,120,120,100,64.4863422544277,498.957316285465,1520
"2079/2080",2080,120,120,100,72.2016595622117,793.996424083598,1310
"2080/2081",2081,121,121,100,62.0920770791436,1139.16913740523,1432
"2081/2082",2082,120,120,100,66.8402503905272,1568.25807814253,1425
"2082/2083",2083,120,120,100,68.5118141309122,1429.19685285259,1373
"2083/2084",2084,120,120,100,68.2109795351098,473.456693212967,1644
"2084/2085",2085,121,121,100,59.9900501716183,950.43656977918,1593
"2085/2086",2086,120,120,100,59.9813727938199,920.463073370047,1554
"2086/2087",2087,120,120,100,62.4032484091458,886.621357689612,1763
"2087/2088",2088,120,120,100,62.1780562495114,956.673224768136,1647
"2088/2089",2089,121,121,100,66.7101524615537,997.22657462582,1570
"2089/2090",2090,120,120,100,59.4028535973193,464.695987722371,1801
"2090/2091",2091,120,120,100,59.3738670535658,682.937913823407,1715
"2091/2092",2092,120,120,100,62.8222040370511,394.071491537616,1807
"2092/2093",2093,121,121,100,70.6823525134823,1189.11764288321,1380
"2093/2094",2094,120,120,100,58.5214375984197,1246.71559659578,1555
"2094/2095",2095,120,120,100,68.7048894782274,481.712270442396,1562
"2095/2096",2096,120,120,100,72.204328573669,1814.03237055894,1323
"2096/2097",2097,121,121,100,64.5696040525017,3347.7313421797,1500
"2097/2098",2098,120,120,100,59.1181557776945,1120.13727101404,1626
"2098/2099",2099,120,120,100,71.5968308483953,802.168746400625,1431
"2099/2100",2100,120,120,100,66.3014369240427,1356.38186068553,1485
"2100/2101",2101,120,120,100,65.50594595847,757.396021033637,1408
