"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.0917299554924,206.503212067674,94.5267147277789,61.8730037475544,99.3949739355351,1555.33191379233,1298,1079.06527002246,1451,1197.5,1381,1197,70.5861802968606
"2002/2003",2003,120,120,100,30.749850080752,142.794778785589,109.306872962043,52.2809299566844,101.569616267413,1148.12902468189,771,611.870544196369,1038,656.5,1085,656.5,63.6518759541569
"2003/2004",2004,120,120,100,45.2634657330139,206.91711667984,91.7785260842064,73.1306287953496,107.134124701933,1575.54479562752,1167.5,932.492818959876,1466,1045.5,1486,1045.5,74.1188283987024
"2004/2005",2005,121,121,100,42.9820479369781,227.187816253774,85.0877090456002,65.307994146524,103.846447858813,1687.09943067948,1348.5,1140.75352418206,1582,1252,1473,1249,76.8191231866922
"2005/2006",2006,120,120,100,42.8180002140613,191.091772614102,97.7080908117997,63.9414893177653,101.270302659306,1473.72471017306,1102,936.387098640292,1370.5,1026.5,1299,1026.5,71.6945545963413
"2006/2007",2007,120,120,100,50.7231429446458,229.298858728672,91.1469069800683,71.0983462198797,103.378974114863,1495.52375060929,1141,985.611370728657,1370.5,1079,1308,1079,71.8473986013615
"2007/2008",2008,120,120,100,30.183840789672,140.870270547701,112.02818018776,53.7060620459975,102.261972450688,1088.89659096176,708,556.983003112664,987,612.5,988,612.5,58.7870472142451
"2008/2009",2009,121,121,100,48.4231660593081,246.79603629294,87.8704352792904,66.6166018354287,101.867307382161,1604.08561509184,1304.5,1077.01468607765,1511.5,1187,1424,1185.5,74.7715294818661
"2009/2010",2010,120,120,100,44.3499127778884,198.028745120541,94.0476872114837,70.8029475501447,106.528996395541,1540.77122140854,1123.5,890.748098754768,1414,1012,1405,1012,70.7120768002708
"2010/2011",2011,120,120,100,46.4560997705283,196.457400810733,97.1983951912205,71.7181612190573,105.015834190324,1555.72730733538,1161.5,929.365700227334,1435.5,1052,1421,1052,70.3532413121779
"2011/2012",2012,120,120,100,31.3404615193483,150.447749901299,111.662580421974,48.8135091048279,97.6724286430643,1149.16891343899,868.5,721.760706096231,1059,781.5,1052,780,63.2014626800303
"2012/2013",2013,121,121,100,41.4030978749987,189.64769577258,96.6654443589878,69.2888762305325,106.589844166696,1465.62382634338,1050,845.697513211418,1351.5,951.5,1337,950,72.0222709353247
"2013/2014",2014,120,120,100,30.8828044173702,120.388667896996,114.761164381343,45.5445922832824,95.742631550988,1127.60918825045,860,738.491461314203,1048,827.5,984,827.5,61.3027491092851
"2014/2015",2015,120,120,100,40.4802702016243,196.528249152942,95.8573539411851,62.1137180168559,102.073773996065,1465.62135995031,1084,896.178720508397,1347.5,978,1318,973.5,69.2486163468716
"2015/2016",2016,120,120,100,35.2198886067984,154.114134463899,100.09677887458,55.2198844422539,101.183332670983,1370.64415987561,1019.5,869.738748342137,1272,942,1212,942,69.9075844391773
"2016/2017",2017,121,121,100,40.2084167785053,198.198321375956,93.423104166632,57.297890725989,101.185383158493,1443.59891440743,1123.5,937.736664158474,1344.5,1029.5,1253,1026,71.3610251011601
"2017/2018",2018,120,120,100,31.6834053473579,150.907254250062,108.049574489477,52.8719892437252,100.157170617778,1240.18943641472,909.5,756.481046768575,1127.5,827,1089,827,61.9212779103286
"2018/2019",2019,120,120,100,34.7786279472435,145.464862659567,104.759767778709,56.3809600492567,102.134091363621,1329.23162005221,983.5,789.082895229079,1221.5,889,1182,887.5,65.357227702094
"2019/2020",2020,120,120,100,48.6993368259425,227.146950099015,87.2934956538135,67.7529188454038,101.584344592206,1679.67208242916,1317.5,1130.03581941347,1536.5,1252,1466,1245,75.846909248005
"2020/2021",2021,121,121,100,29.2557274222119,152.437214669583,102.655264771276,54.3421864446167,104.517695542589,1207.82046574565,836.5,693.378652132917,1094,785,1045,785,66.3076087214458
"2021/2022",2022,120,120,100,24.5643193720103,146.360782791752,103.394338544301,44.4432964180449,97.4841932160935,1189.63727309031,868.5,736.482459006605,1078.5,821,970,802,66.5399441931122
"2022/2023",2023,120,120,100,39.0034204036726,179.546578805801,97.4647376294733,61.968261787224,104.464220180584,1439.48639487813,1031,852.285648134821,1310,950,1266,950,64.9123095204332
"2023/2024",2024,120,120,100,51.8740743519019,256.865351388175,82.3754465507418,72.3926780544259,104.267050071621,1735.44910567033,1353,1134.97011919594,1614.5,1248.5,1527,1248.5,77.208474913868
"2024/2025",2025,121,121,100,40.8362137230001,182.05460623383,101.087325073283,63.9107678866946,104.93595921664,1441.38358004976,1018,842.562905420109,1306.5,932,1316,932,71.3028690036308
"2025/2026",2026,120,120,100,25.1540443428196,130.55278919276,126.597906086843,38.5565495309952,92.0414518959154,870.814606170708,640.5,541.330317081611,799,589,735,588.5,52.3024074004356
"2026/2027",2027,120,120,100,49.3528480615141,211.845329780647,87.4800087788599,69.6421916684113,104.343596159608,1656.45186373587,1303.5,1066.15040235345,1549.5,1186.5,1504,1186.5,76.5452532945446
