"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.5681192867598,208.715789823214,91.1804791057551,56.1169781265825,96.6791107940593,1579.02015011816,1362,1179.65388754952,1487,1301,1343,1294,71.7942330850654
"2002/2003",2003,120,120,100,36.1578347777974,162.641258239494,104.927140066333,54.5320738603961,100.621477385947,1275.1303049172,949,754.613769125806,1183.5,851.5,1156,851.5,67.8634936938708
"2003/2004",2004,120,120,100,51.6529145042704,230.419639685048,87.5318674152827,77.8042776260648,106.462408118497,1718.72459219967,1333.5,1092.39438086845,1608,1229,1576,1229,78.2375221266554
"2004/2005",2005,121,121,100,49.1926390588236,251.085835609299,80.5130958590706,71.3158978059424,103.984887661336,1825.78647543638,1494,1261.44017393772,1715,1385.5,1620,1382.5,81.231121567932
"2005/2006",2006,120,120,100,44.0771866517698,202.770070745581,92.7806366601895,63.2498641191543,101.006465547742,1512.839787652,1146,1006.26143636131,1399,1076.5,1329,1076.5,74.1004454089331
"2006/2007",2007,120,120,100,55.5560661164448,254.414779085026,87.2186861964929,71.1806423171576,101.497123102552,1598.10233717266,1269,1118.48031078205,1474.5,1216.5,1349,1216.5,74.0781863484584
"2007/2008",2008,120,120,100,36.2944742066469,163.179970425408,107.276940487641,55.6807310710087,101.556832666605,1211.19269823505,876.5,694.509762454365,1096,769.5,1093,769.5,63.9251326896424
"2008/2009",2009,121,121,100,51.2654221348759,265.580834605424,83.2502056882569,66.7928000728938,101.084173466721,1693.53882997725,1412,1186.64990479856,1613,1306,1505,1300.5,75.8077177256623
"2009/2010",2010,120,120,100,50.1813388393551,227.668640126877,89.4392793214133,75.5268875743056,106.147240001025,1696.54510769108,1282,1010.65154637855,1582.5,1145,1553,1145,75.6460131782242
"2010/2011",2011,120,120,100,51.3833252114892,215.234740552071,91.77923411154,74.4057067542763,104.966676721237,1664.85700828164,1271.5,1056.60332085079,1536.5,1173.5,1517,1173.5,71.9316625779861
"2011/2012",2012,120,120,100,35.4791531076133,167.504815988597,107.223310333012,50.5766843192629,97.0357348174211,1245.13538995643,989.5,826.505696753755,1152.5,903.5,1080,899.5,65.8154086055727
"2012/2013",2013,121,121,100,46.7394331456725,213.331345278572,91.8625322181652,71.793970592618,106.101815363836,1569.11370070466,1163,958.194021314563,1432.5,1071,1396,1068,73.354111591568
"2013/2014",2014,120,120,100,31.742460602716,126.939159042363,109.190108758702,43.3423642335128,95.2868669693158,1180.06658454795,944.5,830.869116541748,1093,898.5,1010,897,61.8075173197597
"2014/2015",2015,120,120,100,42.838049988297,213.426392816553,92.0854906405272,61.2108570157638,100.56206808688,1570.47447072377,1219,1027.28587221604,1453,1128,1374,1119.5,71.0071936982581
"2015/2016",2016,120,120,100,38.9296185343824,171.969075611449,95.3539379740846,57.4136438134794,101.037300063271,1475.75200524199,1143,978.166298409473,1357.5,1059.5,1276,1059.5,71.6349012017481
"2016/2017",2017,121,121,100,39.5518464235141,206.605906513179,89.6453104572478,54.6592923161419,99.1768423040867,1510.24825091335,1239,1047.609633289,1413.5,1152,1296,1143,73.6451180357535
"2017/2018",2018,120,120,100,33.7413360815057,164.724455911605,103.123556110137,54.6040000574543,100.236849862863,1347.13514687615,1014,852.999205979308,1238,928.5,1175,928.5,65.7875533322685
"2018/2019",2019,120,120,100,39.3565263039678,164.557496572603,100.55951933199,59.4936220443848,101.486407987355,1447.51813168993,1086.5,907.948045340276,1332.5,1009.5,1293,1005.5,66.3261518792901
"2019/2020",2020,120,120,100,52.9905483094863,239.438806803565,83.0622956605016,69.7292660339939,100.812300169724,1760.35022024604,1439,1226.8609439237,1632,1367,1516,1351.5,78.6710783459116
"2020/2021",2021,121,121,100,36.9897771449853,179.434192091702,98.3593529323192,60.3041781381718,104.419947698392,1352.00512248933,997.5,825.402462790797,1244,917.5,1174,917.5,70.3077437163865
"2021/2022",2022,120,120,100,24.2434261122363,149.498358219428,98.3630170354797,44.2244014112411,97.8767483939428,1221.68522848001,904,760.033197397668,1108.5,853,993,824,66.4352346196465
"2022/2023",2023,120,120,100,44.465417304802,199.769062391721,93.1750360713709,64.910057030643,103.659542253331,1543.92441353336,1195,989.385151468901,1421.5,1108.5,1351,1108.5,68.9268374981398
"2023/2024",2024,120,120,100,53.7328738742158,266.017157589766,78.8558391653939,70.4687782390886,101.881599401522,1818.15490343356,1484,1254.65244604598,1697.5,1399,1588,1391,78.0540327526528
"2024/2025",2025,121,121,100,46.5778127664483,199.842777150476,96.4670467126234,67.0263169368853,104.207233217112,1568.65586481949,1187.5,988.86719295416,1458,1106,1393,1106,74.8407366343968
"2025/2026",2026,120,120,100,27.9645363258903,145.291969163165,121.403968434781,40.809858423821,92.4307092238062,979.288502337324,740.5,630.203534300217,897.5,688.5,829,687,54.8532434971853
"2026/2027",2027,120,120,100,49.8539627924541,222.436638083806,83.4635229624802,70.276044582505,103.20860266857,1730.29468607044,1396.5,1168.54210006902,1610.5,1309,1520,1305,78.2757822147919
"2027/2028",2028,120,120,100,26.3225511494845,117.752726709877,112.711555624061,51.404816850439,103.438832526609,1119.4805015946,724.5,550.915388753612,1010,620,1038,620,61.9210799658458
"2028/2029",2029,121,121,100,43.8184508813859,224.220453480403,88.2651112105708,63.0578682441604,102.431950481623,1512.11761929654,1170.5,1012.25532869509,1403,1085,1257,1085,73.0798335321779
"2029/2030",2030,120,120,100,35.5803286716803,180.269862297106,100.109900016113,52.1808497243682,98.0306313989747,1346.93206374647,1061.5,934.493078998759,1227,1027,1103,1020.5,70.3542411877734
"2030/2031",2031,120,120,100,39.1965051221993,206.577536016338,87.9131290010031,64.7503481712927,103.367195889043,1498.96702520477,1141.5,975.876652806128,1373,1054.5,1327,1052.5,74.9059978616779
"2031/2032",2032,120,120,100,55.0451062050969,257.572652101985,82.0437731843974,75.7452667158225,103.465745657657,1792.22419847369,1431.5,1219.97759036414,1658.5,1349,1560,1346.5,79.4870025135961
"2032/2033",2033,121,121,100,32.4065656163783,143.838838737091,109.235663460803,53.587793582038,101.819185089494,1218.7091454333,875,716.911571438621,1118,793,1086,793,63.9871001368901
"2033/2034",2034,120,120,100,36.4685647995833,186.360318400469,100.196904315915,54.4654700034035,98.9237202805813,1302.43685871307,994,845.85672168871,1186.5,942.5,1098,935.5,66.511468051689
"2034/2035",2035,120,120,100,30.9809628360009,158.244064241588,102.982200356372,49.207917436439,97.5739913927422,1273.82276471285,967,834.804381902934,1164,906.5,1068,897,64.1503212762054
"2035/2036",2036,120,120,100,46.2054606646727,209.31489890244,97.1616947923046,62.6956736698196,99.7530889449399,1523.25332488187,1220,1046.19289095198,1413.5,1149.5,1346,1148,72.5009651154223
"2036/2037",2037,121,121,100,31.2149613053155,158.673429258552,103.120818616251,54.7039080366165,103.366892241896,1277.10434930095,901.5,721.228756752516,1162.5,785,1183,779.5,68.3655386312448
"2037/2038",2038,120,120,100,40.2794749784301,184.04687722494,93.7249874821711,61.7215211011124,102.360161207676,1522.12246841811,1179,1012.09778197367,1396,1093.5,1320,1093.5,72.5604410741553
"2038/2039",2039,120,120,100,57.5639393797611,255.622451284605,82.1821799374055,71.4406264602097,100.885132473529,1875.03510159884,1553.5,1363.55022442474,1746,1490.5,1625,1490.5,78.2029682525717
"2039/2040",2040,120,120,100,41.0227782824314,201.619450945692,86.7778317113152,64.4665096223443,103.500980937002,1613.89916545579,1255,1051.46866119362,1487,1178,1372,1165,75.7830791338283
"2040/2041",2041,121,121,100,47.2879618810437,228.201769675369,89.4677169063388,67.8136746854063,103.704648799398,1668.09097929968,1295,1093.74549911707,1559.5,1203,1499,1203,76.3920951087239
"2041/2042",2042,120,120,100,56.3025967772034,213.055507071682,93.7959357483197,71.8744417290284,99.061442081615,1874.90423515809,1595.5,1322.72116499839,1772.5,1480.5,1747,1479,78.3238269950407
"2042/2043",2043,120,120,100,37.0889435740553,174.381223858664,104.895973213213,56.3101502963359,101.246579614867,1200.63561012378,873,723.456879090721,1085.5,796,1058,795,66.6125768322781
"2043/2044",2044,120,120,100,56.3874487689816,232.116345358193,86.1810518172748,78.8761977120321,105.512930286658,1781.58425478614,1371,1128.47288253812,1662,1265,1620,1263.5,77.3983389548966
"2044/2045",2045,121,121,100,33.4567587387523,147.539726302934,110.538966390552,54.7660203574878,101.026253611099,1233.67685148946,892.5,705.387766543652,1127,787,1113,787,63.8218642664287
"2045/2046",2046,120,120,100,39.4995363390857,199.98984844879,93.3716055710283,57.5525507514884,99.5147680405808,1389.25685957668,1023,864.96246252222,1269.5,977.5,1175,948.5,70.4850549867897
"2046/2047",2047,120,120,100,41.0747583240069,182.292774962274,108.242427771862,58.9481265152139,97.0561359060766,1415.387417855,1100,905.272568347551,1308.5,1006.5,1265,1005,70.4425558771209
"2047/2048",2048,120,120,100,40.4419572456363,170.294728863637,97.991678308412,63.8263553077209,104.927238155229,1453.1707503761,1076,865.768162320106,1334,980,1318,980,70.4946268859048
"2048/2049",2049,121,121,100,33.6887583271694,166.782938023686,97.7877281876075,58.8291535147423,105.518606948744,1296.53317449262,902,748.559759809177,1193,813.5,1119,813.5,69.8453947341859
"2049/2050",2050,120,120,100,24.7021409222444,129.132136042413,104.202024826934,54.2601491216099,105.551086906225,1154.84101816083,752.5,587.224211170615,1032.5,652.5,1052,652.5,66.4308851527549
"2050/2051",2051,120,120,100,33.2319755422039,173.567382840821,93.9384476653829,52.9985093239072,100.047765280722,1340.53000282074,1068,907.825974100837,1234.5,989,1102,987,69.3002263921335
"2051/2052",2052,120,120,100,48.9726775062924,216.756463302289,92.079604718581,65.1335933912893,97.8272773881397,1631.19013103683,1326,1131.61654456182,1520,1232.5,1432,1226,76.1732047118321
"2052/2053",2053,121,121,100,43.1665406940692,189.946813984374,95.3885769386733,63.5909223060729,100.662590073715,1615.62415338177,1285,1071.08588346875,1503.5,1190.5,1446,1184,73.9243478045873
"2053/2054",2054,120,120,100,47.0223686349615,222.168044747585,86.7248299539027,66.1689631171488,102.409372708602,1705.09164496209,1373,1160.56931205171,1588,1263,1515,1263,76.2184501977845
"2054/2055",2055,120,120,100,43.677512368449,194.170391215822,95.0484202558151,63.4012092666204,102.369000886553,1523.20244754074,1150,974.118332139195,1425.5,1069.5,1373,1069,70.8987320835267
"2055/2056",2056,120,120,100,31.6032462447132,169.199366596072,92.5365886142459,51.8454668758617,99.1557152628596,1289.76920582677,933.5,774.615430544967,1134.5,882,1090,836,64.4240058587748
"2056/2057",2057,121,121,100,39.6933209023611,186.253722202043,106.030200590712,56.9918558609115,100.163830181189,1347.07625805432,1002,827.391450679628,1255,910.5,1199,910.5,61.6118544411493
"2057/2058",2058,120,120,100,53.5457969906294,225.618190452598,86.9788394323665,76.0117645627528,104.737590205001,1732.42462684016,1365,1130.63084911315,1610,1271,1544,1271,77.7890559467814
"2058/2059",2059,120,120,100,39.5993746878233,179.015998059049,101.578226983762,59.2275147175254,101.597458770344,1340.38488489186,984.5,811.843347644703,1231,888,1222,888,66.2325629625884
"2059/2060",2060,120,120,100,46.058370819769,220.766996354019,91.5557939013239,63.4955957732855,99.2162060587856,1591.23165956369,1298.5,1108.33688907417,1484,1219,1394,1216,73.8526145731357
"2060/2061",2061,121,121,100,51.1712019996142,232.025087405687,83.0539274208237,70.2374884949139,102.46183191512,1670.64498960387,1354,1158.73257171223,1566,1275.5,1444,1267.5,79.2680117889995
"2061/2062",2062,120,120,100,27.268557744282,127.734980068195,113.307984151901,46.7658011966937,100.500397761992,1041.80709911583,697,559.604633094466,928.5,622,914,620.5,58.8389997881677
"2062/2063",2063,120,120,100,31.5161727150053,171.312736677013,100.048344978657,52.815517137262,101.67019518615,1254.76241461112,880,725.932858548906,1148,804.5,1090,799,63.5675018044112
"2063/2064",2064,120,120,100,35.8922221261672,161.870435674467,100.551506965403,54.8866346690221,101.235048941325,1351.70980904161,1033,858.090466028851,1255.5,960.5,1193,960.5,70.1792891346322
"2064/2065",2065,121,121,100,50.0351015476535,222.142783144817,92.2995220276314,69.1408468906196,104.374307815926,1611.00801673441,1224,1026.44794440435,1506.5,1136,1445,1136,72.7624801331622
"2065/2066",2066,120,120,100,53.7552608288477,238.626542166259,83.4213722196888,82.471712648528,107.954290665653,1840.57855972031,1426.5,1152.00552894098,1721,1295.5,1692,1295.5,79.2061970020804
"2066/2067",2067,120,120,100,29.7317734711134,157.282998291128,107.988420750485,53.5908785804421,100.709126222362,1181.89083255839,828,677.928801658847,1068,744.5,1062,744.5,65.1440640603087
"2067/2068",2068,120,120,100,56.6285083069154,248.498761668369,80.5353021751237,72.0044608189968,101.141373531857,1849.74870072911,1566.5,1348.01611619102,1752,1495,1615,1494.5,81.0455940717511
