"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.2968295568297,203.852481474398,88.5553806799632,60.1440122837004,98.0378667769861,1669.93537347794,1420.5,1241.75696322721,1555,1381.5,1387,1374.5,74.9612002175834
"2002/2003",2003,120,120,100,38.4872011445805,166.090682597245,101.830336128061,59.6163974079617,102.985756663472,1398.70699705685,1055,824.530054853135,1280,941,1290,941,70.377284735234
"2003/2004",2004,120,120,100,55.1586421881447,232.624024141149,86.0019764546318,77.6909259491493,104.904532982999,1837.90199770202,1515,1234.82273000321,1741.5,1401,1678,1401,77.8941543964864
"2004/2005",2005,121,121,100,45.2895553363828,222.097644654811,79.9126790749799,64.1445087173779,101.251052805361,1844.02601673123,1564,1371.62085262649,1735,1488.5,1577,1483,81.423425495122
"2005/2006",2006,120,120,100,48.664030394194,209.754814537607,91.7859610638233,65.8545706664131,99.5495232088269,1704.84805780672,1386,1182.82330005756,1597.5,1291,1503,1290.5,77.0992012821173
"2006/2007",2007,120,120,100,52.9346687727688,247.788659754044,85.4760126288413,68.4305622568404,101.2522791423,1670.89991667234,1326.5,1188.47356684488,1540.5,1264.5,1424,1264.5,74.0002946621038
"2007/2008",2008,120,120,100,40.401235013686,175.019157546604,104.693721693636,62.6530778375967,102.726822021114,1372.98891797019,955.5,772.319419369549,1266.5,853,1267,853,62.439521841085
"2008/2009",2009,121,121,100,50.0531376213826,250.325990190072,82.5214163177871,65.8005010724782,99.4414687130285,1769.95100942535,1486.5,1271.56597274003,1665,1392,1547,1384,77.7514320654063
"2009/2010",2010,120,120,100,54.446108574069,226.80978477106,88.0504782929332,75.746958680518,104.375484863438,1807.19327656458,1418.5,1166.68256830841,1698.5,1314.5,1662,1313,75.5842380465874
"2010/2011",2011,120,120,100,58.0517002311547,231.885327514535,91.4539760413438,76.3732533263737,102.283664784478,1822.12158578859,1469,1228.19836202379,1717,1379.5,1644,1379.5,73.3327605432949
"2011/2012",2012,120,120,100,36.0898355758855,156.571309135641,104.183176581993,51.8934175216608,98.0149383983606,1319.71839620276,1055.5,873.542523140668,1227.5,984,1146,978.5,67.4481276494678
"2012/2013",2013,121,121,100,51.0376843232446,220.051236979641,90.7482936024341,74.0891233528751,104.82517248397,1733.05871979014,1362,1126.60996676576,1613,1269,1539,1266.5,75.6272033206922
"2013/2014",2014,120,120,100,31.1299103479546,124.469629015019,108.017809226708,47.5504516031709,96.1509095948384,1253.96670477158,967.5,884.5672388741,1140.5,927.5,1064,926,65.3214566068109
"2014/2015",2015,120,120,100,43.2409381216891,201.429845232496,89.8077674337744,62.8597141086219,100.744925961618,1644.94513229963,1315.5,1093.74709623003,1525.5,1220.5,1439,1210.5,73.7704309659084
"2015/2016",2016,120,120,100,40.3525841607235,166.913569991626,93.8003465116064,57.9331457435673,100.327339003729,1551.78351943217,1205,1046.42182721729,1439,1125.5,1329,1125.5,73.5740342724534
