"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,47.1697693975219,215.467543630796,81.6312081067202,59.378248860783,96.3407438875082,1805.02645443988,1572,1420.39839979788,1677,1545.5,1456,1536,78.6390909279149
"2002/2003",2003,120,120,100,43.6508977042661,186.59767465333,94.6940415540913,62.7381750895423,101.895025205415,1586.2176202239,1263,1043.93750724618,1482.5,1170.5,1435,1167.5,72.5701929382864
"2003/2004",2004,120,120,100,63.5026007127412,262.402880584007,79.5203352994045,80.4489304535417,102.228477739247,2027.56054899421,1741,1476.05156703515,1923,1658.5,1798,1657,82.9679195238492
"2004/2005",2005,121,121,100,52.3206953843906,234.82705826649,73.4724327557093,67.8090085280664,99.0117740829456,2008.82193935723,1761,1552.67398417377,1867,1696,1657,1678.5,86.3878563634953
"2005/2006",2006,120,120,100,51.7420836518039,222.87488393151,83.9079445085652,67.054767192504,99.2978576495726,1845.92906473319,1554,1351.87467129012,1740,1472,1593,1470.5,78.9314263760416
"2006/2007",2007,120,120,100,57.6899130459937,277.410757474562,78.9756728778201,68.0517692454561,98.8211439241125,1867.38560499402,1586,1415.01353939575,1751.5,1524,1583,1523.5,78.8139360095173
"2007/2008",2008,120,120,100,48.4366141171399,201.364985193776,96.6987616536681,65.7282457854213,102.388697081118,1599.34884802685,1230,1006.67806518847,1469.5,1114,1492,1113.5,70.6296557215512
"2008/2009",2009,121,121,100,49.0485283245351,250.345177856081,75.6090527053042,61.9840209086821,97.5555269496843,1887.62932426205,1640.5,1453.01235907575,1749.5,1581,1605,1569,80.3607574585594
"2009/2010",2010,120,120,100,61.2428430690924,249.948282787234,81.087641029493,78.2037460692622,102.364933231503,2036.17490737382,1689,1429.90067189324,1911,1598.5,1841,1594.5,82.0518917384857
"2010/2011",2011,120,120,100,61.3903464497439,244.703452386008,83.5484717608992,77.4891431455412,101.466347351674,1989.61466673556,1670.5,1438.95859017185,1865,1579,1764,1579,76.8101825388017
"2011/2012",2012,120,120,100,39.0177083217579,174.703881086361,96.1280241185373,53.4460533219221,98.0102331824847,1471.93696690917,1210,1040.35779518604,1354,1153.5,1242,1148,70.4708176410879
"2012/2013",2013,121,121,100,60.5631925013496,254.123542349232,83.3048207650405,79.3092345023513,103.590783372861,1948.1835246499,1599,1339.68530392561,1828.5,1495.5,1721,1488,81.2654843858895
"2013/2014",2014,120,120,100,36.5027097899528,146.415544797067,98.5478612510907,51.5236904081506,98.1434758161609,1431.84662332134,1178.5,1041.38623898494,1308.5,1127,1200,1124.5,71.2555699191103
"2014/2015",2015,120,120,100,49.5729983651091,227.361572334737,82.7573302127929,65.4146006519598,99.3481746594397,1868.2041675729,1578,1351.10130792538,1754,1509.5,1608,1499.5,80.2904267144854
"2015/2016",2016,120,120,100,45.981117421516,182.75072909355,86.2812002627636,61.9872315113197,99.8146672853951,1759.70076779581,1474,1288.16778215185,1642,1410,1477,1410,78.7127323517157
"2016/2017",2017,121,121,100,43.4554860255446,209.814039104583,80.9043070133732,58.839432150357,98.2975233047394,1764.64861958995,1498,1311.56016665053,1633.5,1439.5,1452,1423,78.9456263784946
"2017/2018",2018,120,120,100,47.2489776043922,197.407937337053,93.0407720019271,65.6585340421833,99.810460600587,1668.08849436285,1340.5,1149.08897903973,1556,1258.5,1450,1258,73.3550967466977
"2018/2019",2019,120,120,100,47.5319714971851,182.46587511333,90.4755222050366,66.1336840506858,101.132916663176,1772.71748330887,1435,1237.34286886299,1643.5,1352,1603,1345.5,76.0118269394757
"2019/2020",2020,120,120,100,52.8542481886521,234.965436686952,75.4797855785536,64.0305243554251,96.4190614110131,1938.23153015593,1728,1548.72011400494,1828.5,1687.5,1615,1667.5,82.3282523832218
"2020/2021",2021,121,121,100,47.444413072345,217.725704235803,88.7479557489914,69.6594915146533,104.584469879262,1687.09972499587,1309,1108.08437391715,1574.5,1205.5,1520,1205.5,75.8671940288073
"2021/2022",2022,120,120,100,37.8953643091635,176.504660175235,88.5928035963857,56.7280676651728,98.1903735964007,1575.54986134125,1232.5,1042.89570122601,1430,1151.5,1374,1115,72.7026885718374
"2022/2023",2023,120,120,100,51.471406214091,216.853205457356,83.9222739508447,72.3995121967354,103.50346693792,1926.06319837767,1570,1326.78418476782,1811,1470,1714,1468.5,78.0540077740261
"2023/2024",2024,120,120,100,56.5464407104808,264.958783998038,71.2941362999256,69.5479201334326,97.7344700017285,2079.72526954267,1824.5,1585.16876740527,1966,1752.5,1757,1731.5,85.031896436637
"2024/2025",2025,121,121,100,49.4321562886891,212.093344156115,87.4732207990335,68.2852939490426,102.621514961877,1862.58212508568,1533,1321.75529359517,1737.5,1459.5,1617,1459.5,79.6677232505067
"2025/2026",2026,120,120,100,31.3353817118136,162.481534697923,110.049503208527,43.1971797436481,93.8703342411613,1188.75012571113,949,826.962847763214,1111.5,903.5,997,901,62.8446834278261
"2026/2027",2027,120,120,100,54.1214141545406,240.747707819076,75.5931757098393,70.8499666787487,100.556344904598,2015.48453107559,1762.5,1540.48003881344,1902.5,1700,1738,1695.5,84.4059850513618
"2027/2028",2028,120,120,100,38.9328248403003,150.990705872821,102.19695006524,63.7244548062833,104.444345108692,1503.16579750068,1114,875.609473860895,1393.5,1002,1369,1002,70.3450677958731
"2028/2029",2029,121,121,100,50.1763039647004,245.96915807605,79.5439493034426,68.246281870825,101.369851952757,1813.66458081322,1494.5,1300.42891705587,1694.5,1392.5,1547,1390,80.6246024421152
"2029/2030",2030,120,120,100,42.730656522106,200.548863199143,90.0909004742314,57.8436587281713,98.4816630198921,1624.21494912247,1341,1191.43978867205,1496.5,1295,1364,1287,76.1261353224372
"2030/2031",2031,120,120,100,54.6311144900828,247.543483625542,79.5718430827775,73.404044699678,101.668691356339,1835.03106131034,1520.5,1295.70231520419,1712,1412.5,1619,1405.5,81.8814975239247
"2031/2032",2032,120,120,100,59.3469067403904,267.993767877633,74.3193614490819,72.3874238903711,99.5350394062606,2030.23065146232,1762.5,1585.27347407141,1899.5,1720,1715,1716,84.6313892548906
"2032/2033",2033,121,121,100,43.4429627597303,172.716847717548,98.7175207180234,63.4292991551553,102.730539406244,1551.76984913167,1248.5,1032.31276902965,1462.5,1148,1365,1148,72.1400642681692
"2033/2034",2034,120,120,100,45.5147478722878,218.29458190674,90.4783824944877,61.597441031596,98.444602761824,1607.00678149883,1277.5,1097.65502032556,1485.5,1204.5,1387,1191.5,70.242747784504
"2034/2035",2035,120,120,100,40.802032148295,181.301038016163,92.1715070138129,57.3459624194954,98.659151812037,1590.1295296741,1277.5,1093.82069975221,1455.5,1204,1348,1190.5,73.1694717074897
"2035/2036",2036,120,120,100,52.5829154593796,225.819391597745,87.5043843154502,65.6757542670289,98.275555285138,1795.58687337236,1531.5,1352.54899090328,1696,1473,1530,1470.5,77.9890176103736
"2036/2037",2037,121,121,100,44.973159341178,189.994934027274,93.6404730700211,65.1162126636759,102.872499354259,1640.39695943486,1329.5,1071.25897140514,1538,1204.5,1493,1199,75.6862436431593
"2037/2038",2038,120,120,100,49.4787062861976,203.580560707366,84.6952946964003,67.5333830716295,100.953277585235,1845.56347764668,1555.5,1345.61468316073,1728.5,1483.5,1565,1481.5,79.3866874246587
"2038/2039",2039,120,120,100,55.0247105054284,245.920004276335,74.1956104002789,66.6481841949932,97.565352862925,2118.76190222727,1884.5,1693.57818635173,1978,1844.5,1727,1842.5,85.2384704680107
"2039/2040",2040,120,120,100,54.4130033139446,237.019108445363,78.2194513817898,73.9616990571156,101.827070701038,1983.95523652155,1645.5,1408.20219792293,1839.5,1563,1760,1543.5,81.6501621694351
"2040/2041",2041,121,121,100,53.1174507805386,247.926538273123,80.7222588078356,70.5800614984184,102.124106354778,2005.39595915665,1683,1453.99956108171,1896,1597,1788,1595.5,81.7146413644305
"2041/2042",2042,120,120,100,56.3787125344691,198.11548889223,84.3297754405051,66.3252700852235,95.8146665225531,2060.17628540526,1866,1648.10733229329,1942,1831.5,1742,1828.5,82.700460887535
"2042/2043",2043,120,120,100,45.8181808231271,199.454365038548,94.1405520218985,64.4858096637729,102.850646142015,1525.38626509567,1168,982.818572155556,1409.5,1080.5,1320,1077.5,73.8234677526871
"2043/2044",2044,120,120,100,64.8023193517443,261.825889664961,78.1655960217686,80.1652138772682,101.87906854697,2115.16870347873,1785,1531.945471486,1975.5,1694,1870,1690,84.5394389841285
