"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.3359082268606,223.53463586592,89.8864662670309,57.5669454919937,96.9945018661921,1570.28475916073,1364.5,1156.68641729429,1471.5,1295,1336,1286.5,73.1916565175313
"2002/2003",2003,120,120,100,36.8097167887891,171.727323003885,103.399494496978,56.5621204773146,101.411136903243,1270.19686704588,933.5,735.284450777557,1173.5,819.5,1166,819.5,67.6372634219831
"2003/2004",2004,120,120,100,51.181055624575,238.525109366145,86.3274694481881,78.1612163830216,106.733972550695,1683.75839994885,1304,1071.90123679036,1581,1208,1538,1208,76.8383944780616
"2004/2005",2005,121,121,100,47.3604037890319,258.769865788424,79.5746006625171,69.2581237694475,103.849670425526,1774.55180094369,1449.5,1230.92940088018,1674,1350,1556,1347,81.3206881308801
"2005/2006",2006,120,120,100,45.2906325872961,215.954031979367,91.9650856640483,63.4263506830138,100.504081988818,1516.06109699644,1167,1017.89063950865,1411.5,1089.5,1313,1089.5,73.511920875749
"2006/2007",2007,120,120,100,54.6164214341354,257.372585397792,85.8787969344943,70.6089412957469,101.985477876733,1539.18371107351,1208,1071.86935110147,1406.5,1151.5,1288,1151,73.9505933790368
"2007/2008",2008,120,120,100,36.2755929829065,171.751993138444,106.018521494114,57.443818011867,102.02113754864,1187.91192860831,815,665.748064162761,1072.5,730,1076,730,61.8962633582412
"2008/2009",2009,121,121,100,52.0936992479131,277.735687935395,82.446194484564,67.3101501097098,100.64667019365,1665.99571095354,1375,1154.79793686177,1580,1283,1469,1273,76.9782657099361
"2009/2010",2010,120,120,100,50.6780805972538,233.457388053213,88.5005338807973,75.184750576615,106.025423184913,1656.16696696109,1257,1005.99579671605,1533.5,1131.5,1501,1131.5,75.0123079128241
"2010/2011",2011,120,120,100,53.0855664868805,228.072733295196,91.2785744219141,75.1810902206415,104.459586275013,1647.16648948847,1272,1052.02935503973,1531,1171.5,1458,1171.5,73.0884342118682
"2011/2012",2012,120,120,100,35.2146055802481,172.63306000561,106.195634466527,50.9653882176457,97.0830338072601,1222.4637035908,967,797.953786066377,1133,880,1071,874.5,66.4206739703111
"2012/2013",2013,121,121,100,46.4274546844791,220.870317903564,90.8684676726238,71.8839172833031,106.219383733064,1549.16533816795,1156.5,952.536675356649,1430.5,1060.5,1387,1053.5,75.0089346637712
"2013/2014",2014,120,120,100,31.8741467702894,135.693058920607,108.468557179278,44.8237816715188,95.3209856652274,1173.45470389455,918.5,815.284563645571,1079.5,872,1029,869.5,62.5191319623978
"2014/2015",2015,120,120,100,42.6888637804191,222.759441853143,90.8621797171063,63.2267172498646,101.025074542533,1542.37898187114,1172.5,982.772819697777,1417,1081,1354,1071,72.0221690620201
"2015/2016",2016,120,120,100,38.9646686377862,176.861892713641,94.3201310603671,57.4474516175312,100.738152149659,1451.6977285618,1101,960.887752194598,1326.5,1031.5,1257,1031.5,72.7337692188944
"2016/2017",2017,121,121,100,40.8224462731149,220.037436092536,88.1891438245118,56.7932033306554,99.9909661672018,1498.58577219398,1192,1004.56821128176,1382,1111,1297,1096,74.4090502493777
"2017/2018",2018,120,120,100,33.3393679194483,169.34145849849,102.179241402161,54.0520730460981,99.9863742597398,1308.00185681944,988,834.102967542847,1207,918.5,1122,918,65.1970321617605
"2018/2019",2019,120,120,100,38.909783296008,169.587737953804,99.258802196578,59.2336033258661,101.918373383758,1424.68217912791,1070.5,890.486613022767,1322.5,990.5,1247,985,68.9822667279404
"2019/2020",2020,120,120,100,52.1875094028015,250.729960286915,81.9153363586391,68.7347595018204,100.972930176019,1741.09423835536,1426.5,1208.08416328493,1603,1347.5,1503,1330.5,77.8230411593172
"2020/2021",2021,121,121,100,35.4886390736171,185.803562583723,96.9758081768806,60.5453147263321,104.72015123845,1332.89306961991,975.5,814.049082144229,1223,894.5,1175,894.5,71.2109803297872
"2021/2022",2022,120,120,100,25.3820863216566,161.179917762991,97.6718960713046,44.4604845580688,97.1213575965604,1217.41974089012,895.5,753.893735787467,1090,854,1008,817.5,65.2937189817467
"2022/2023",2023,120,120,100,41.8400237505976,203.657343339964,92.3126114380335,63.4238602648173,103.486114482735,1513.90221550937,1175.5,968.828356933016,1396,1073,1320,1071.5,69.4825666415545
"2023/2024",2024,120,120,100,52.6582278386566,279.550660729798,77.6754823016545,71.3411066633058,102.356520960867,1775.73557217064,1427.5,1206.14396174033,1662.5,1334.5,1553,1325,77.2086092010045
"2024/2025",2025,121,121,100,46.6638770805319,209.18117735282,95.3274616955184,69.2662577330449,104.86659431906,1562.70623076243,1177.5,972.23323049063,1438,1083.5,1385,1083.5,74.310194237039
"2025/2026",2026,120,120,100,26.9586584475178,145.424632982967,119.351677881334,40.9972057452746,93.318684690682,936.057079274266,689,583.234767802223,852,643,804,640,55.7286527830379
"2026/2027",2027,120,120,100,50.8510596415063,235.581662660545,82.3743385770688,70.393080136329,103.44128258948,1716.30508461443,1378.5,1158.91944251297,1590,1284,1507,1280.5,79.265979011775
"2027/2028",2028,120,120,100,27.1933345502398,122.60543506477,112.036390003357,51.1456745257308,102.77635216392,1123.96687099639,756.5,579.499617755384,1019.5,658.5,1049,658.5,62.2048085305305
"2028/2029",2029,121,121,100,40.5317176632491,222.516601382722,87.215248891807,61.5667109651295,102.273464853326,1458.46335111998,1122,967.53010564093,1340.5,1047.5,1207,1044,73.5757707733273
"2029/2030",2030,120,120,100,36.8560236749011,194.731020511298,98.5405872827682,53.8356130472478,99.0151209483147,1344.92876569409,1052.5,911.28938700346,1235.5,999.5,1133,993.5,70.0520436006273
