"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.0520892385284,203.428601778023,82.5158391852869,57.0278202235247,95.7007103579069,1757.90783393166,1534.5,1408.03666125759,1620,1513,1396,1500,77.4308268123624
"2002/2003",2003,120,120,100,45.014441090616,185.016932970047,95.1410714384964,63.3522124451349,102.057127931319,1600.58340493927,1293,1052.28631304023,1490.5,1202,1425,1201.5,73.0218069793489
"2003/2004",2004,120,120,100,63.5861346740534,260.018464220353,79.9532689778368,80.9727320237398,102.585096067046,2021.75539444723,1718,1470.00683829192,1902,1637,1814,1636.5,82.2877274859103
"2004/2005",2005,121,121,100,49.8628087213595,230.454777340839,74.0797432564974,66.2459486732173,99.0377144300804,1993.42870548183,1747,1552.99746215835,1850,1687,1649,1675,84.5731989423905
"2005/2006",2006,120,120,100,50.0108108038276,215.597977193621,85.1018420176633,65.345700099558,98.2487269146026,1833.52308044381,1548.5,1363.20936604224,1708,1484,1546,1482.5,78.6850117113152
"2006/2007",2007,120,120,100,55.6900943297409,265.434211888185,79.5492647827577,66.7447286912404,99.0558590650507,1825.30438064254,1527,1379.09240014488,1696,1475.5,1516,1475,77.2700352913999
"2007/2008",2008,120,120,100,48.6207828066419,199.385236627775,97.5064675220719,66.511719254066,102.375880034508,1596.75846097261,1212,993.098737401912,1469,1108,1459,1108,69.4048692335567
"2008/2009",2009,121,121,100,51.1318257476782,250.045923012168,76.6030571240474,62.4833567396301,97.0134879625555,1893.20998021752,1667.5,1461.0609345933,1768.5,1599,1611,1586,79.0304203568701
"2009/2010",2010,120,120,100,60.9142408288268,247.962658826337,81.8489119136596,78.2578554175673,102.137703755241,2025.80928334,1672.5,1420.42021332272,1905,1584,1851,1581,80.7113156907512
"2010/2011",2011,120,120,100,62.8633464236945,245.660001834776,84.6359059612419,76.6722007419438,100.640896007689,1986.43492395973,1669.5,1454.27369337728,1852,1597,1764,1597,76.3123054565051
"2011/2012",2012,120,120,100,40.2110963523362,165.162034267139,97.1829091212162,53.7981544829905,97.3099575243748,1460.81865834814,1201,1040.18941650595,1339,1157,1218,1151.5,67.6790120817873
"2012/2013",2013,121,121,100,58.7400994360724,246.431767570559,84.1876819981344,77.884714235265,103.2001039286,1931.95411394133,1595,1345.16764033965,1804.5,1502.5,1722,1496.5,80.0325839487066
"2013/2014",2014,120,120,100,33.3934641111724,133.590051652835,99.9183468592653,48.9945987173821,97.0357561455279,1390.67886779603,1142,1026.23523547404,1268,1090,1112,1087.5,69.1956122812276
"2014/2015",2015,120,120,100,48.9400119092957,217.619542127768,83.5946547179848,64.6949590003253,99.0686727794823,1836.68664145506,1539.5,1321.92157835696,1720,1465,1585,1453.5,78.4393573870664
"2015/2016",2016,120,120,100,44.8378909216352,176.880422997162,87.0701439839266,60.3869978352325,99.3789404734622,1721.91362151472,1428.5,1252.61942375755,1588,1349.5,1443,1349.5,78.0000614841906
"2016/2017",2017,121,121,100,44.4617524302399,205.55712668796,81.5220676994563,59.8876703790754,98.495181297437,1744.99207711723,1468.5,1281.36260727631,1619,1422,1440,1404,77.7410582327889
"2017/2018",2018,120,120,100,43.0585010032478,183.934211002349,94.2368562205048,62.5184072924463,99.3678868020872,1607.53649345727,1287,1117.35209719288,1495.5,1216.5,1375,1215,71.231260087904
"2018/2019",2019,120,120,100,45.1201121632134,173.773639497519,91.1615110101836,64.4441939346239,101.147674930461,1732.04733529311,1380.5,1209.50952371704,1602.5,1316,1541,1308.5,75.0114084668562
"2019/2020",2020,120,120,100,51.9614948650728,230.242756170547,75.9726359550134,64.0663521567406,96.9501977039554,1928.81734980056,1703,1530.60041409651,1802.5,1673.5,1620,1650,82.0077258287006
"2020/2021",2021,121,121,100,46.4615826406166,203.696736942291,89.5174160510897,69.4152085615002,104.553608198798,1665.99154343369,1303,1106.98739113216,1542,1207,1459,1207,76.1645156785567
"2021/2022",2022,120,120,100,35.2762725229503,159.898641979923,90.061907982382,53.0250097500573,96.7507197652524,1500.67701741861,1168,1000.99006315479,1362,1120,1289,1078.5,71.2254766852734
"2022/2023",2023,120,120,100,47.1345976281263,200.128384840794,84.8472708559879,68.3767487519526,102.658701625285,1869.43890890732,1519.5,1314.76694969925,1752,1423.5,1624,1422,75.5905699395548
"2023/2024",2024,120,120,100,54.801591860892,259.477273431858,71.8644109182188,69.3327211434814,97.9037489211755,2054.48105414912,1785.5,1571.04281845631,1933.5,1725.5,1728,1710.5,83.4520035278556
"2024/2025",2025,121,121,100,53.352914396581,220.092690436508,87.9018595036501,71.8666794358999,103.302182707175,1902.22937867897,1559,1332.60853300912,1773,1467,1693,1467,80.5238545118827
"2025/2026",2026,120,120,100,29.9308513094874,155.792863853792,110.202588764418,44.2095439609883,94.8828343704299,1168.78786676776,904.5,783.06453517143,1069,849,964,846,62.1521423180316
"2026/2027",2027,120,120,100,53.5864014755328,236.822832447412,76.2100488211625,70.1939406521601,100.340435293011,2002.20519462455,1728.5,1525.67722731244,1885.5,1669,1710,1665.5,84.6912477044211
"2027/2028",2028,120,120,100,39.4755164429961,150.125412694407,103.242716622325,63.2095096031296,103.392593052633,1503.64082933275,1134.5,901.356209268895,1394.5,1042,1378,1042,68.7930209817478
"2028/2029",2029,121,121,100,46.2447910642032,228.650745672581,80.5880266402522,64.479026522163,100.638867144358,1750.12142202744,1437.5,1256.42134227337,1647.5,1349,1466,1344.5,78.5278758011077
"2029/2030",2030,120,120,100,40.6925695989309,196.707947332171,90.4677845147993,57.6779106622259,98.6964827980229,1611.61936765646,1329.5,1181.84401129235,1499.5,1283.5,1351,1276.5,75.9143463069076
"2030/2031",2031,120,120,100,55.7512108026,248.764967767116,80.320036307553,74.2581606782931,101.526708477233,1852.39503616694,1550.5,1315.59554884053,1732.5,1452,1625,1450,81.1304551826079
"2031/2032",2032,120,120,100,56.6332928550462,255.306340454549,75.0471092073698,70.7730572359709,99.4263625957168,1995.93842764302,1741.5,1562.65761531678,1883.5,1693.5,1673,1689.5,83.9062517236171
"2032/2033",2033,121,121,100,43.5527808970375,169.293653355682,99.6202683274329,62.6992823940017,102.362750654821,1546.10385599619,1236.5,1024.75012131427,1450.5,1136,1363,1136,71.0358069619042
"2033/2034",2034,120,120,100,41.6137851070534,198.892132239102,91.869623984011,58.0609569985874,97.6168850295274,1535.332122989,1213,1056.55724554826,1423.5,1142.5,1263,1127,69.1614620389937
"2034/2035",2035,120,120,100,37.8112010643293,168.723337021136,93.3017049640837,54.5823762158465,97.8681914136794,1548.02760786076,1245,1090.60493092396,1423,1200.5,1287,1186,72.5155151839799
"2035/2036",2036,120,120,100,50.8643782147804,212.202737847268,88.2734369092454,64.4621813856936,98.2860370013068,1777.67783243599,1521,1343.79836553571,1657.5,1468.5,1499,1466,78.2488024182476
"2036/2037",2037,121,121,100,42.6432071761859,180.175192699939,94.58169951805,62.3118124750712,102.215464071998,1603.44878198438,1292.5,1058.62571988799,1480,1194,1399,1186.5,74.3786473076907
