"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.8620854053581,199.78932502947,81.5086258584312,52.1981957751683,94.4791609431483,1659.38060081866,1443.5,1338.8800814049,1527,1438,1263,1417.5,76.6419817875109
"2002/2003",2003,120,120,100,45.1324008583363,194.655971807522,93.3909293429044,62.3310817139356,101.593581899452,1585.62454988919,1288,1057.09251718952,1489.5,1209,1413,1207.5,74.1234087344365
"2003/2004",2004,120,120,100,63.2362841565533,269.165658893173,78.3249662478476,79.6543080420808,102.387150711998,1959.71260394538,1657.5,1440.57258503798,1826,1582.5,1728,1582,82.2023206837491
"2004/2005",2005,121,121,100,48.2780852137797,250.068458953574,72.6033841676062,64.6741628112821,98.597323904107,1943.87096715747,1697,1514.22669136176,1801.5,1639,1618,1621.5,83.6675992569307
"2005/2006",2006,120,120,100,48.0519927033347,224.644817671175,84.0289711019822,62.0738182554478,96.9647651017021,1760.44846034106,1466,1324.4362591262,1624.5,1440.5,1441,1437.5,77.1051938625537
"2006/2007",2007,120,120,100,51.4991156251934,264.833372989566,78.0267894858507,63.8523517061531,98.6535403717533,1720.81792740835,1413.5,1298.81902605446,1581,1373.5,1367,1368,76.2814773624684
"2007/2008",2008,120,120,100,46.3980638521479,203.458548499141,96.168362137435,64.5350655714601,101.772751238173,1546.1745884344,1162,971.495359462118,1430.5,1074.5,1368,1074.5,69.1217240995494
"2008/2009",2009,121,121,100,51.427557114797,272.343745466517,75.3387225983743,62.1764269426577,96.198454592376,1861.59549788112,1636.5,1423.24626131768,1735,1590,1572,1562,78.4279160653518
"2009/2010",2010,120,120,100,59.9045877312868,260.993459360569,80.5715398941213,76.0618013773073,101.69176389954,1976.53331232031,1631.5,1387.62692616143,1859,1540,1768,1533.5,81.0241538126352
"2010/2011",2011,120,120,100,61.5171230369463,257.067171259865,83.4535117587234,73.9455901121033,99.5790200715755,1910.15991170709,1601.5,1425.89935350619,1778,1550,1644,1550,76.5636101894356
"2011/2012",2012,120,120,100,40.6465670210486,172.509390030506,96.1816412961657,53.2393804282066,96.2712434114296,1437.26172657891,1191,1025.3574841864,1326,1150,1191,1132.5,68.7749747411206
"2012/2013",2013,121,121,100,54.9063618125696,249.672141422531,82.902602024452,74.8420541720565,102.334498076183,1849.15066867078,1520.5,1309.08635718136,1724.5,1444.5,1618,1435.5,78.5225979307963
"2013/2014",2014,120,120,100,29.2889969151283,131.402941260926,98.9834718924821,45.1549922843277,95.4837920205753,1316.21746816098,1077.5,992.855288425701,1199,1047,1002,1041.5,68.8894882172854
"2014/2015",2015,120,120,100,46.8885533395899,221.020242323121,82.5280911743005,62.4307330738512,98.1500514766871,1757.30200862124,1452.5,1247.6736976537,1634.5,1381,1515,1357.5,76.4431647512479
"2015/2016",2016,120,120,100,43.7051560188565,185.597141832845,85.7970752522002,57.4027809845611,98.5477092981011,1658.88369054146,1369.5,1199.13771878747,1529.5,1276,1372,1274.5,77.5902820976626
"2016/2017",2017,121,121,100,43.6281846016612,214.007472071144,80.06430067807,58.9756284501957,98.0004155100982,1683.29570152739,1409.5,1217.11803193455,1570.5,1369.5,1387,1332,76.0472926666835
"2017/2018",2018,120,120,100,39.2083817501345,183.898679202817,93.0622847359294,59.1159608293233,98.5246475216102,1533.0905371496,1235.5,1077.93669040066,1424.5,1162.5,1288,1158,71.4208569030047
"2018/2019",2019,120,120,100,42.1986255161763,175.463553812577,89.9872749502203,61.0325947200942,100.549732241583,1659.76617920204,1324,1164.17688756496,1514.5,1275,1409,1263.5,75.9898136481024
"2019/2020",2020,120,120,100,50.33183984807,240.153011083401,74.4948810010909,63.6363408682901,96.8483116051531,1874.08180120368,1648,1459.07348646487,1751.5,1612,1560,1582.5,79.9282659141754
"2020/2021",2021,121,121,100,44.6338040780259,207.396794922865,88.004984966349,67.9877178203283,103.746658899037,1608.42400923683,1271.5,1100.0785036008,1478.5,1192,1381,1192,76.9374857985986
"2021/2022",2022,120,120,100,32.4386147417805,158.343463174035,89.4353687590205,49.2172413846954,95.0846660668785,1401.32268775403,1083.5,920.936649656973,1264.5,1045,1162,980,68.5156578112142
"2022/2023",2023,120,120,100,42.1964408014957,201.297860138862,83.8431739509822,63.3043290300793,101.500982348804,1774.64969786584,1431.5,1272.12190788853,1661.5,1360.5,1518,1357.5,74.9930884610026
"2023/2024",2024,120,120,100,50.8326826248696,267.086881101391,70.5567409960346,66.4977741053635,97.4664549672864,1957.924994867,1682.5,1492.95444130961,1823.5,1623.5,1631,1600.5,83.0587824761487
